date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-05-16 00:00:00,31.1,28.2,33.6,0,,63,23.4,,1009.4,
2024-05-17 00:00:00,30,26,32.4,88.1,,71,13.7,,1009.1,
2024-05-18 00:00:00,29,25.1,33.1,0,,117,8.9,,1007.6,
2024-05-19 00:00:00,28.8,25.5,34,10.8,,302,9.9,,1006.5,
2024-05-20 00:00:00,29,24.8,33,11.9,,283,11.1,,1006.7,
2024-05-21 00:00:00,29.6,26,33.8,30.2,,310,8.9,,1008.1,
2024-05-22 00:00:00,31.3,27.1,34.9,0,,239,9.1,,1008.4,
2024-05-23 00:00:00,28.7,25.5,33,4.3,,38,8,,1008.3,
2024-05-24 00:00:00,31.6,27.4,35.5,0,,36,11.4,,1008.2,
2024-05-25 00:00:00,31.6,28.3,34.2,0,,81,14,,1008.4,
2024-05-26 00:00:00,31.1,29,34.2,0,,234,12.1,,1009.2,
2024-05-27 00:00:00,29.8,25.6,35.8,4.5,,246,18.9,,1007.4,
2024-05-28 00:00:00,29.3,25.1,32,31.5,,262,23.8,,1006.8,
2024-05-29 00:00:00,31.6,27.9,35.8,0,,265,23.8,,1006.4,
2024-05-30 00:00:00,28.2,26,32.7,14.7,,258,22.6,,1007.1,
2024-05-31 00:00:00,29.3,25.8,32.7,0,,258,19.6,,1008.5,
2024-06-01 00:00:00,30.2,27,34.3,0,,257,16.2,,1010.2,
2024-06-02 00:00:00,31.8,27.9,37.4,0,,313,12.7,,1009.9,
2024-06-03 00:00:00,31.3,27.6,37.2,0,,294,14.4,,1008.3,
2024-06-04 00:00:00,30.8,27.3,37.4,0,,256,17.1,,1008.2,
2024-06-05 00:00:00,31.3,28.3,35.4,0,,250,18.2,,1009.4,
2024-06-06 00:00:00,31.3,27.1,37.2,0,,271,17.6,,1009.4,
2024-06-07 00:00:00,30,25.1,35.1,0.3,,266,18.7,,1007.8,
2024-06-08 00:00:00,29.5,26,34.1,2.3,,268,15.7,,1006.9,
2024-06-09 00:00:00,28.1,24.7,32.9,3.8,,259,19.5,,1007.7,
2024-06-10 00:00:00,27.4,24.9,32.3,4.9,,259,19.7,,1009.6,
2024-06-11 00:00:00,29.6,26.1,34.1,0,,265,20.5,,1010.1,
2024-06-12 00:00:00,31.1,26.9,36.2,0,,270,21.2,,1009.9,
2024-06-13 00:00:00,32.8,27.8,37.9,0,,272,20.6,,1008.2,
2024-06-14 00:00:00,29.9,26.1,35.1,2.4,,268,17.6,,1006.3,
2024-06-15 00:00:00,28.9,25,35.3,10.1,,258,18.2,,1006.6,
2024-06-16 00:00:00,28.9,24.4,31.2,6.6,,239,17.7,,1008,
