date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
4/1/2025 0:00,17.2,12.9,23.7,0,,179,9.6,,1018.7,
4/2/2025 0:00,19.6,13.3,26.2,0,,134,6.5,,1018.7,
4/3/2025 0:00,23,16.4,29.8,0,,154,8.9,,1016.7,
4/4/2025 0:00,22.6,15.8,28.9,0,,154,15.2,,1012.2,
4/5/2025 0:00,20.3,19.2,22.2,3.3,,199,6.2,,1014.4,
4/6/2025 0:00,20.5,18.4,23.7,3.5,,140,6,,1015.1,
4/7/2025 0:00,20.6,18.6,24,1.2,,170,6.7,,1015.9,
4/8/2025 0:00,22.8,19,28.1,0.1,,145,10.2,,1014.2,
4/9/2025 0:00,23.7,20.9,27.5,0,,157,12.8,,1010.3,
4/10/2025 0:00,25.4,20.9,32.4,0.1,,165,10.5,,1006.6,
4/11/2025 0:00,26.2,21,33,0,,156,14.7,,1003.8,
4/12/2025 0:00,24.7,19.6,30.1,0,,13,19.8,,1010.5,
4/13/2025 0:00,20.3,17.9,25.1,0.7,,323,10.6,,1017.5,
4/14/2025 0:00,22.6,17.1,30.7,0,,144,4.7,,1014.6,
4/15/2025 0:00,24.1,17.4,32.8,0,,129,7.4,,1012.1,
4/16/2025 0:00,24,16.6,32.1,0,,140,12.6,,1007.7,
4/17/2025 0:00,,,,,,,,,,
4/18/2025 0:00,,,,,,,,,,
4/19/2025 0:00,,,,,,,,,,
4/20/2025 0:00,,,,,,,,,,
4/21/2025 0:00,,,,,,,,,,
4/22/2025 0:00,,,,,,,,,,
4/23/2025 0:00,26.2,23.3,30,7.8,,102,10.1,,1007.2,
4/24/2025 0:00,24.4,22.3,28.3,4.2,,140,7.8,,1008.5,
4/25/2025 0:00,24.4,20.4,28.8,4.5,,111,9.8,,1011.3,
4/26/2025 0:00,24.3,21.3,28.5,1.7,,144,12.5,,1010.8,
4/27/2025 0:00,26,22.4,32.2,3.5,,158,13.9,,1010,
4/28/2025 0:00,24.9,20.8,31.3,3.9,,53,11.7,,1012.8,
4/29/2025 0:00,24.9,19.7,30.1,0.2,,136,7.4,,1012.1,
4/30/2025 0:00,23,21.2,26.6,9,,154,6,,1012.3,
5/1/2025 0:00,24.5,21.2,31.9,1.2,,212,6.3,,1013.7,
5/2/2025 0:00,25.7,20.2,32.7,0,,146,6.8,,1010.4,
5/3/2025 0:00,25.7,20.6,32.2,0.1,,151,11.8,,1007.5,
5/4/2025 0:00,26.6,23.9,32.5,1,,157,15.6,,1004.9,
5/5/2025 0:00,27.7,23,34.1,0.9,,159,10.9,,1005,
5/6/2025 0:00,25.6,22.4,31.1,30.7,,153,7.5,,1006.9,
5/7/2025 0:00,25.9,21.7,31.5,30.9,,142,10.2,,1004.6,
5/8/2025 0:00,28.9,24.6,34.8,0.2,,167,15.7,,1002.2,
5/9/2025 0:00,27.4,22.9,33.6,2.5,,65,9.5,,1006.5,
5/10/2025 0:00,24,19,30,14.1,,22,14,,1010.5,
5/11/2025 0:00,20.8,17.2,28.4,8.5,,3,12.7,,1013.4,
5/12/2025 0:00,22,15.8,29,0,,102,6.9,,1010.5,
5/13/2025 0:00,23.7,17.1,31.9,0,,140,11.4,,1009.8,
5/14/2025 0:00,24.6,21.6,30,12.6,,133,9.3,,1010.5,
