date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-05-16 00:00:00,29.9,26.8,32.3,0,,94,12.4,,1009.3,
2024-05-17 00:00:00,29.9,28.2,33.2,8.1,,125,9.8,,1008.8,
2024-05-18 00:00:00,30.7,28.1,34.7,0.5,,238,6.3,,1007.6,
2024-05-19 00:00:00,30.9,28.8,35.7,21.1,,210,8.9,,1006.6,
2024-05-20 00:00:00,31.8,28.6,35.7,0,,246,8.5,,1006.7,
2024-05-21 00:00:00,29.7,25.7,32.8,14,,235,7.3,,1008.1,
2024-05-22 00:00:00,30.3,28.3,39.9,0,,248,6.6,,1008.4,
2024-05-23 00:00:00,29.8,28.8,34,23.4,,177,6.8,,1008,
2024-05-24 00:00:00,31.1,28.7,35,0,,118,6.9,,1007.6,
2024-05-25 00:00:00,32.1,29,33.5,0,,115,8.4,,1008.3,
2024-05-26 00:00:00,31.1,28.8,35,13,,166,7.7,,1009.1,
2024-05-27 00:00:00,30.6,27,35.2,0.5,,191,7.5,,1007.8,
2024-05-28 00:00:00,29.4,26.6,33.5,5.1,,236,10.5,,1007.9,
2024-05-29 00:00:00,31.3,27.8,35.6,0,,241,11.1,,1007.8,
2024-05-30 00:00:00,28.7,27.4,32.6,0.3,,231,10.8,,1008,
2024-05-31 00:00:00,27.8,26.3,34,42.9,,213,9.9,,1008.7,
2024-06-01 00:00:00,28.6,26.7,32.4,9.4,,183,7.9,,1010.5,
2024-06-02 00:00:00,31,27.3,33.5,0,,242,7,,1011,
2024-06-03 00:00:00,31.2,27.1,31.1,0,,279,10.7,,1010,
2024-06-04 00:00:00,32.1,28.8,33.9,0,,250,10.6,,1009.3,
2024-06-05 00:00:00,31.1,29.7,34.6,0,,247,11.6,,1009.7,
2024-06-06 00:00:00,31.4,27.9,34.5,0,,268,10.1,,1010,
2024-06-07 00:00:00,31,29.4,32.8,0,,272,13.7,,1008.8,
2024-06-08 00:00:00,31.9,29.5,35.2,0,,264,14.7,,1007.9,
2024-06-09 00:00:00,28.7,26.2,32.2,41.1,,240,13.6,,1008.4,
2024-06-10 00:00:00,28.1,26.6,32.2,30,,228,12.2,,1010,
2024-06-11 00:00:00,29.9,26.4,33.3,0.3,,239,10.2,,1010.7,
2024-06-12 00:00:00,30.9,28,34.6,0,,252,10,,1011,
2024-06-13 00:00:00,31.2,28.7,34.4,0,,269,13.5,,1009.7,
2024-06-14 00:00:00,31.3,28.8,34.6,0,,268,13.9,,1007.6,
2024-06-15 00:00:00,28.1,25,33.7,4.1,,234,11,,1007.5,
2024-06-16 00:00:00,28.6,25.7,33.2,1,,237,9.7,,1008.3,
2024-06-17 00:00:00,28.7,27.5,33.6,3,,243,13.4,,1009.1,
2024-06-18 00:00:00,29.2,25.6,33.3,4.3,,247,12,,1008.4,
2024-06-19 00:00:00,30.2,26.5,33.6,0,,246,12.5,,1007.4,
2024-06-20 00:00:00,28.1,25.2,32.2,15.5,,269,16.1,,1006.8,
2024-06-21 00:00:00,28.2,24.9,31,35.1,,270,16,,1006.4,
2024-06-22 00:00:00,25.4,23.9,29,62,,247,18,,1007.2,
2024-06-23 00:00:00,28.6,24.7,32,15.5,,259,13.6,,1008,
2024-06-24 00:00:00,26.3,25.2,31.2,9.9,,228,11.3,,1008.3,
2024-06-25 00:00:00,28.8,25.4,32.5,4.6,,227,8.1,,1007.9,
2024-06-26 00:00:00,29.6,26.8,31.9,0,,268,5.5,,1008.3,
2024-06-27 00:00:00,29.8,28,33.5,0,,5,5.5,,1009.4,
2024-06-28 00:00:00,27.8,25.3,30.4,18,,130,6.1,,1009.4,
2024-06-29 00:00:00,30,26.7,33.3,0,,164,8.5,,1009.8,
2024-06-30 00:00:00,28.5,25.1,32.5,6.1,,222,8.5,,1010.6,
2024-07-01 00:00:00,28.9,26.3,31.8,1.8,,256,12.4,,1009.6,
2024-07-02 00:00:00,28.4,26.1,29.7,0,,244,10.6,,1007.8,
2024-07-03 00:00:00,28.3,24.8,30.1,13.7,,235,9.8,,1009,
2024-07-04 00:00:00,28.2,26.8,30.4,0,,213,8.1,,1010.6,
