date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-05-16 00:00:00,26.2,21,34,4.3,,77,11.1,,1011.4,
2024-05-17 00:00:00,24.9,21.6,31.3,16.4,,81,6.9,,1011,
2024-05-18 00:00:00,24.9,21.2,30,24.8,,307,6.4,,1009.2,
2024-05-19 00:00:00,24.3,21.6,28.5,8.7,,264,9.4,,1008.2,
2024-05-20 00:00:00,24.8,21.9,29.9,7.7,,295,7.6,,1008,
2024-05-21 00:00:00,24.7,21,29.8,15,,218,5,,1009.5,
2024-05-22 00:00:00,25.1,22,30,1.7,,228,5.9,,1010.1,
2024-05-23 00:00:00,24.5,21.8,29.2,7.6,,148,5.3,,1010,
2024-05-24 00:00:00,25,21,30.8,4.9,,92,5.6,,1010.2,
2024-05-25 00:00:00,26,21.4,30.8,0,,118,6,,1010.2,
2024-05-26 00:00:00,25.3,21.2,29.7,0.5,,267,7.1,,1010.9,
2024-05-27 00:00:00,26.4,21.8,31.2,0.8,,267,10.6,,1008.8,
2024-05-28 00:00:00,25,21.4,30.2,6.4,,265,12.9,,1008.6,
2024-05-29 00:00:00,23.9,21.8,27.7,6.2,,264,13.2,,1008.6,
2024-05-30 00:00:00,22.9,21.6,25.9,14.8,,257,13.2,,1008.8,
2024-05-31 00:00:00,23.1,21.6,26,6.6,,250,12.3,,1009.9,
2024-06-01 00:00:00,24.2,20.7,27.8,1.3,,249,10.7,,1012.1,
2024-06-02 00:00:00,25.1,21.3,29.5,0,,259,11.2,,1012.4,
2024-06-03 00:00:00,24.7,21.8,30.4,1.9,,271,11.9,,1011,
2024-06-04 00:00:00,25.4,21.4,29.9,0.6,,271,9.6,,1010.2,
2024-06-05 00:00:00,25.4,22.1,30.2,0.5,,255,10.5,,1011.1,
2024-06-06 00:00:00,25.5,21.6,30.3,1.8,,267,8.6,,1011.5,
2024-06-07 00:00:00,25.1,21.9,30.4,1.8,,266,9,,1010,
2024-06-08 00:00:00,24.8,22,29.2,5,,273,8.8,,1008.6,
2024-06-09 00:00:00,23.7,21.5,27.6,17.8,,246,9.4,,1009.1,
2024-06-10 00:00:00,23.3,21,27.7,2.8,,242,11.3,,1010.6,
2024-06-11 00:00:00,24.3,21.1,28.5,2,,252,12.6,,1011.7,
2024-06-12 00:00:00,25.2,21.7,29.4,1.3,,258,12.9,,1011.7,
2024-06-13 00:00:00,25.7,21.9,30.2,2.3,,259,13.1,,1010.1,
2024-06-14 00:00:00,26,21.8,31.3,1.4,,260,10.6,,1008.1,
2024-06-15 00:00:00,25.7,21.5,31.2,1.9,,269,8.4,,1007.8,
2024-06-16 00:00:00,25.4,21,30.8,0.9,,264,9.1,,1008.9,
2024-06-17 00:00:00,25.5,21.5,30.1,0.5,,255,11.1,,1009.4,
2024-06-18 00:00:00,24.6,21.4,28.5,4.6,,259,11.5,,1008.9,
2024-06-19 00:00:00,24.5,21.8,28.6,13.9,,262,11.1,,1007.9,
2024-06-20 00:00:00,24,21.1,28.5,8,,271,8.7,,1007.4,
2024-06-21 00:00:00,23.4,21,27.1,31.9,,293,7.6,,1006.9,
