date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-05-16 00:00:00,29.1,26,32.8,3.2,,148,9.6,,1010.7,
2024-05-17 00:00:00,27.8,26,30.8,0.8,,185,5.4,,1009.5,
2024-05-18 00:00:00,29.1,26,33,1.1,,179,6.9,,1006,
2024-05-19 00:00:00,31.3,26.3,35.6,4.5,,191,6.8,,1003,
2024-05-20 00:00:00,28.7,25.2,34.5,11.2,,260,7.3,,1004.5,
2024-05-21 00:00:00,27.7,25.3,32.3,12.9,,253,7.1,,1007.1,
2024-05-22 00:00:00,27.8,25,32,10.5,,290,6.5,,1008.2,
2024-05-23 00:00:00,27.1,25,32,9.7,,256,5.6,,1008,
2024-05-24 00:00:00,28.2,25,32.5,5.5,,191,5.3,,1008.4,
2024-05-25 00:00:00,29.5,26,34,4.3,,269,6.2,,1007.7,
2024-05-26 00:00:00,30.5,26,35.4,0.1,,162,5.9,,1006.9,
2024-05-27 00:00:00,32.2,27.2,36.2,0,,178,6.6,,1004.3,
2024-05-28 00:00:00,32,28.4,36.4,0.1,,184,5,,1003.1,
2024-05-29 00:00:00,32.5,28.5,38,0,,200,5.4,,1002.3,
2024-05-30 00:00:00,32.2,28.7,36,0.3,,123,4.3,,1002.1,
2024-05-31 00:00:00,29.2,27.8,31,11.1,,264,4.9,,1004.6,
2024-06-01 00:00:00,28.6,27,32,19,,20,4.2,,1008.3,
2024-06-02 00:00:00,30.1,26.6,35,0,,163,6.4,,1008,
2024-06-03 00:00:00,31.3,26.7,37,0.9,,174,5.8,,1005.9,
2024-06-04 00:00:00,31.9,28,36.1,0.2,,166,6.9,,1005.3,
2024-06-05 00:00:00,31.7,27.8,36.2,8.4,,234,6.1,,1006.3,
2024-06-06 00:00:00,31.1,27.2,35.1,1.4,,321,6.2,,1007.8,
2024-06-07 00:00:00,30.6,25,35.2,7.6,,164,7.3,,1005.7,
2024-06-08 00:00:00,28.9,26,33.6,1.3,,191,5.8,,1004.3,
2024-06-09 00:00:00,29.2,25,35.4,8.1,,211,5.9,,1004.8,
2024-06-10 00:00:00,29,26,34.3,6.8,,212,4.9,,1006.2,
2024-06-11 00:00:00,29.9,26.3,35,0,,199,5.7,,1007.1,
2024-06-12 00:00:00,31.1,27,36,0,,174,6.1,,1006.9,
2024-06-13 00:00:00,31.7,26.6,37.2,0,,148,5.5,,1005,
2024-06-14 00:00:00,32.3,26.6,37.4,2.7,,193,7.1,,1003.1,
2024-06-15 00:00:00,31.3,27,38.1,1.4,,189,6.5,,1002.9,
2024-06-16 00:00:00,30.9,26,36.7,6.3,,187,6.4,,1004.4,
2024-06-17 00:00:00,31.1,26.7,36.2,0.1,,207,6.7,,1004.5,
2024-06-18 00:00:00,31.2,27.1,36.8,0.8,,200,6.9,,1003.8,
2024-06-19 00:00:00,31.3,26.6,36.2,3.1,,163,8.6,,1003.2,
2024-06-20 00:00:00,31.8,28,37,0.2,,157,7.1,,1002.7,
2024-06-21 00:00:00,31.6,27.2,35.8,0.3,,114,8.1,,1002.6,
2024-06-22 00:00:00,30.6,26.8,34.7,1,,285,6.5,,1002.6,
2024-06-23 00:00:00,28,26,31.2,7.8,,225,5.5,,1003.2,
2024-06-24 00:00:00,29.4,26.3,35,9.9,,180,4.7,,1003.9,
2024-06-25 00:00:00,29.8,27,34.2,19.2,,225,6.1,,1004.9,
2024-06-26 00:00:00,28.4,26.8,30.6,1.2,,260,5.7,,1007.1,
2024-06-27 00:00:00,28.6,26,33,3.8,,232,6,,1008.2,
2024-06-28 00:00:00,29.4,25.7,34.8,1.9,,197,6.4,,1007.2,
2024-06-29 00:00:00,30.1,26,34.5,1.6,,195,7.1,,1006.6,
2024-06-30 00:00:00,31.6,27.2,36.7,0.3,,170,6.9,,1006.6,
2024-07-01 00:00:00,32,28,37,0.3,,197,6.3,,1005.2,
2024-07-02 00:00:00,30.8,26.4,37,0,,183,7.1,,1004.5,
2024-07-03 00:00:00,29.7,26,35.2,0.4,,256,5.8,,1007.3,
2024-07-04 00:00:00,28.3,25.4,34,10.2,,260,6.6,,1008.7,
2024-07-05 00:00:00,28.9,25,34,1.9,,187,7.8,,1006.7,
2024-07-06 00:00:00,30.1,25.8,35.2,0.4,,192,6.8,,1005.9,
2024-07-07 00:00:00,29.5,24.7,34.6,7.2,,38,6.9,,1006.4,
2024-07-08 00:00:00,29.6,25.4,34.2,2.1,,245,6.2,,1006.5,
2024-07-09 00:00:00,30.4,26,35.6,0.6,,187,7.1,,1006.5,
2024-07-10 00:00:00,30.5,26.3,36.2,19,,181,7,,1006.6,
2024-07-11 00:00:00,29.9,26.1,36,7,,177,6.1,,1005,
2024-07-12 00:00:00,30.6,26.1,34.8,1.3,,91,6.9,,1002.7,
2024-07-13 00:00:00,30.6,27.4,35,1.2,,173,6.9,,1002.2,
2024-07-14 00:00:00,27.2,26,29,20.1,,230,4.4,,1003.4,
2024-07-15 00:00:00,26.8,25,31,57.4,,266,8.9,,1001.9,
2024-07-16 00:00:00,28.5,25,32.2,9,,4,7.1,,1003.1,
2024-07-17 00:00:00,28,26,31,33.1,,236,6.5,,1003.4,
2024-07-18 00:00:00,27.7,25.6,31.6,15.3,,252,5.7,,1004.1,
2024-07-19 00:00:00,27.7,25,33,3.1,,184,7.8,,1004.1,
2024-07-20 00:00:00,29.4,25.1,33.5,3.8,,143,5.4,,1004.8,
2024-07-21 00:00:00,28.3,26.1,33,14.3,,264,6.1,,1003.7,
2024-07-22 00:00:00,29.7,26.4,32.8,7.5,,218,5.7,,1002.7,
2024-07-23 00:00:00,29.7,26.5,33,0.1,,214,7.3,,1001.2,
2024-07-24 00:00:00,31,27.2,35,0,,216,6.8,,998.9,
2024-07-25 00:00:00,32.1,27.5,37,0,,252,10.7,,997.4,
2024-07-26 00:00:00,31.3,27.2,35,4.2,,245,11.5,,998.8,
2024-07-27 00:00:00,32.3,26.2,37,0.2,,211,7.7,,1001.7,
2024-07-28 00:00:00,29.4,26.8,32,12.1,,195,5.6,,1003,
2024-07-29 00:00:00,29.7,26.6,34,4.9,,211,4.9,,1003.2,
2024-07-30 00:00:00,29.2,26.3,32,2,,218,3.9,,1004.9,
2024-07-31 00:00:00,29.2,26.2,34,0.2,,220,6.9,,1006.7,
2024-08-01 00:00:00,29.9,26.4,33,0,,188,5.4,,1007.6,
2024-08-02 00:00:00,30.4,26,36,0.7,,274,5.8,,1007.3,
2024-08-03 00:00:00,29.3,26,35.1,2.4,,247,7,,1008,
2024-08-04 00:00:00,29.9,25,34.8,0.2,,181,7.3,,1007.8,
2024-08-05 00:00:00,30.3,25.2,35.1,1.4,,184,7.2,,1006.7,
2024-08-06 00:00:00,30.1,25.3,36,0.2,,190,7.6,,1006.3,
2024-08-07 00:00:00,30.4,25.3,35.8,0.1,,161,7.2,,1006.6,
2024-08-08 00:00:00,31,26.3,37,0.2,,165,6.2,,1006.9,
2024-08-09 00:00:00,32,26.8,37.3,0,,166,6.2,,1005.3,
2024-08-10 00:00:00,32.9,26.4,39,3.3,,194,8.4,,1003.6,
2024-08-11 00:00:00,32.8,30,39,0.8,,178,7.6,,1002.1,
2024-08-12 00:00:00,29.9,26,37,7.6,,223,6.5,,1003,
2024-08-13 00:00:00,30.1,25.5,35,1.2,,195,6,,1005.3,
2024-08-14 00:00:00,30.6,25.9,36,0.2,,183,5.4,,1005.8,
2024-08-15 00:00:00,30.7,26.6,36.6,4.5,,202,5.8,,1005,
2024-08-16 00:00:00,29.6,25.2,37,7.3,,189,7.3,,1004.8,
2024-08-17 00:00:00,30.3,25.4,35.1,0.8,,277,6.3,,1006.4,
2024-08-18 00:00:00,30.9,27.3,35.7,0.7,,191,6.5,,1006.8,
2024-08-19 00:00:00,31.5,27.3,36.8,0.5,,185,8.7,,1005.5,
2024-08-20 00:00:00,30.6,26.3,37,1.7,,155,6.9,,1006.4,
2024-08-21 00:00:00,29.7,26.2,37,0.3,,182,6.2,,1007.9,
2024-08-22 00:00:00,30,25.3,36.1,0,,178,7.1,,1008.5,
2024-08-23 00:00:00,29.7,26,35.3,6.9,,211,7.1,,1009.6,
2024-08-24 00:00:00,29.6,25.6,35,2.4,,175,6.9,,1008.7,
2024-08-25 00:00:00,30.4,26,35.2,3.9,,189,6.2,,1007.5,
2024-08-26 00:00:00,30.5,25.8,35.7,0,,222,6.8,,1006.6,
2024-08-27 00:00:00,30.5,26,36,3.1,,211,6.6,,1006.6,
2024-08-28 00:00:00,31.6,27.9,37,,,233,8.1,,,
2024-08-29 00:00:00,30.6,26.4,37,,,203,7.5,,,
2024-08-30 00:00:00,30.7,26.2,36,,,224,7.3,,,
2024-08-31 00:00:00,29.1,26,34,,,232,6.4,,,
2024-09-01 00:00:00,29.7,24.7,35,,,,6.7,,,
2024-09-02 00:00:00,30,25.8,34,,,140,7.7,,,
2024-09-03 00:00:00,29.4,26,33.4,,,313,7,,,
2024-09-04 00:00:00,30.3,25.5,35.6,,,273,7.6,,,
2024-09-05 00:00:00,30.6,26,37,0.3,,260,8.3,,1001,
2024-09-06 00:00:00,29.5,26.8,33,3.1,,270,8.9,,999.1,
2024-09-07 00:00:00,31.8,27.4,37,1.3,,214,7.3,,1000,
2024-09-08 00:00:00,31.8,25.7,39,0,,152,6.9,,1004.4,
2024-09-09 00:00:00,30.8,26.4,37,9.1,,171,8.2,,1004.8,
2024-09-10 00:00:00,28.3,26,31,9.6,,148,5.1,,1005.4,
2024-09-11 00:00:00,27.7,26,30.3,2.5,,225,4.3,,1007.2,
2024-09-12 00:00:00,29.6,25.1,35,24.6,,284,7.5,,1006.7,
2024-09-13 00:00:00,27.5,24,33,4.6,,193,6.9,,1004.8,
2024-09-14 00:00:00,27.8,25,34,21.7,,200,4.6,,1002.7,
2024-09-15 00:00:00,29,26,32.6,18.2,,316,6.8,,1002.4,
2024-09-16 00:00:00,28.3,25,34,5.8,,269,6.3,,1003.1,
2024-09-17 00:00:00,27.8,24.7,32,7.2,,269,6.4,,1003,
2024-09-18 00:00:00,25.2,24,27,67.2,,238,8,,1000.8,
2024-09-19 00:00:00,26.5,24.7,29,81.6,,228,8.8,,996.8,
2024-09-20 00:00:00,28.1,25,32.4,15.3,,302,7.4,,1000.6,
2024-09-21 00:00:00,27.9,25,31.1,10,,242,5.5,,1003.7,
2024-09-22 00:00:00,27.1,25.2,31,50.2,,219,4.6,,1004.6,
2024-09-23 00:00:00,26.7,25,29.2,12,,253,6.1,,1008,
2024-09-24 00:00:00,25.9,24,27.4,3.3,,284,5.6,,1010.4,
2024-09-25 00:00:00,27.5,25,32,5.6,,207,6.3,,1011.3,
