date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-05-16 00:00:00,24,21.7,27.2,21.6,,138,7.9,,1014.4,
2024-05-17 00:00:00,25.9,21.5,30.6,0,,141,9.9,,1010.4,
2024-05-18 00:00:00,25.8,23.5,28.1,0,,121,10.3,,1005.9,
2024-05-19 00:00:00,24.2,22.2,27.1,9.9,,298,7.8,,1004.1,
2024-05-20 00:00:00,26.3,22.1,31.5,0,,53,9.8,,1006.9,
2024-05-21 00:00:00,26.3,21.2,32.1,0,,218,5.9,,1009.6,
2024-05-22 00:00:00,26.7,22.7,32.2,0.5,,205,6.9,,1010.2,
2024-05-23 00:00:00,27.3,22.6,33.4,0,,130,4.9,,1008.9,
2024-05-24 00:00:00,28.3,22.4,34.4,0,,137,7,,1008.2,
2024-05-25 00:00:00,25.5,23.2,28.6,16.4,,137,12.4,,1007.9,
2024-05-26 00:00:00,26.6,23.6,31,5,,154,15.7,,1005,
2024-05-27 00:00:00,28.2,24.1,36.7,68.1,,59,7.4,,1001.8,
2024-05-28 00:00:00,28.2,24.1,32,12.4,,141,8.1,,1002.8,
2024-05-29 00:00:00,29.6,26.3,34.7,0,,126,11.3,,1001.9,
2024-05-30 00:00:00,26,22.9,31.5,3,,1,14.9,,1004.4,
2024-05-31 00:00:00,26.7,23.1,31.8,0,,9,12.3,,1007.3,
2024-06-01 00:00:00,26.2,21.4,30.7,0.2,,135,6.6,,1008.4,
2024-06-02 00:00:00,26.7,23.2,31.1,7.9,,115,8.5,,1007.3,
2024-06-03 00:00:00,27.6,23.5,34.3,60.2,,161,5.5,,1005.2,
2024-06-04 00:00:00,25.4,23.6,29,15.5,,166,8.2,,1006.6,
2024-06-05 00:00:00,23.9,22.6,27.7,29,,61,11.9,,1009.2,
2024-06-06 00:00:00,26.1,22.9,30.3,0,,106,8.3,,1008.9,
2024-06-07 00:00:00,27.3,24.4,32,0.3,,115,7.7,,1006.1,
2024-06-08 00:00:00,26.3,23,31.1,57.9,,136,5.9,,1004.6,
2024-06-09 00:00:00,26.7,24.4,31.2,40.9,,119,6.7,,1005.4,
2024-06-10 00:00:00,26.6,24.5,29.7,11.9,,103,6.9,,1006.9,
2024-06-11 00:00:00,27.8,25.4,31.8,1,,124,10.8,,1005.7,
2024-06-12 00:00:00,28.5,25.4,32.7,3,,111,7.5,,1004.5,
2024-06-13 00:00:00,29.9,25.9,36,0,,129,7.7,,1001.6,
2024-06-14 00:00:00,27.8,25.9,31.3,0,,39,5.1,,1000.6,
2024-06-15 00:00:00,27.7,23.5,35.5,50.8,,325,6.2,,1002.5,
2024-06-16 00:00:00,29.5,25.3,34.5,36.6,,107,8.9,,1003.4,
2024-06-17 00:00:00,29.6,24.4,35.6,0,,120,9,,1002.7,
2024-06-18 00:00:00,27.3,24.4,29.8,32,,67,6.7,,1002.4,
2024-06-19 00:00:00,29.4,25.9,33.5,14,,89,8.9,,1001.8,
2024-06-20 00:00:00,28.4,26.2,34.3,14.2,,119,11.5,,1001.4,
2024-06-21 00:00:00,28.4,25.8,34.4,0.5,,128,12.5,,1002.7,
2024-06-22 00:00:00,29.1,24.5,33.8,0,,124,11.2,,1004.1,
2024-06-23 00:00:00,29.5,25.3,35.2,0,,121,7.5,,1004.2,
2024-06-24 00:00:00,26.9,23.8,32,7.1,,232,6.6,,1004.6,
2024-06-25 00:00:00,25.7,24.5,29,64.5,,170,6.3,,1006.5,
2024-06-26 00:00:00,26.4,23.2,32.3,7.9,,128,6.9,,1009.2,
2024-06-27 00:00:00,26.7,24,30.5,27.9,,131,9.8,,1009.4,
2024-06-28 00:00:00,28.6,25.2,33,0,,159,17.9,,1005.7,
2024-06-29 00:00:00,29.8,26.3,34.1,0,,164,17.1,,1003.2,
2024-06-30 00:00:00,30.1,25.3,34.8,0,,152,14.9,,1001.6,
2024-07-01 00:00:00,29,26.1,33.8,0,,153,13.6,,999.8,
2024-07-02 00:00:00,25.9,24,27.5,13.1,,115,5.7,,1003,
2024-07-03 00:00:00,25.3,23.2,29.6,30.6,,118,13.4,,1007.7,
2024-07-04 00:00:00,26.2,23.1,30.5,5.8,,136,13,,1009.8,
2024-07-05 00:00:00,27,23.8,30.8,1.9,,152,14.2,,1006.6,
2024-07-06 00:00:00,27.1,23.9,31.4,1.5,,147,13.5,,1006,
2024-07-07 00:00:00,27.3,23.8,31.7,1.8,,153,16.2,,1006.5,
2024-07-08 00:00:00,27.6,24,31.7,2.6,,157,16.1,,1005.4,
2024-07-09 00:00:00,27.8,24.9,32.1,2.7,,149,14.5,,1005.2,
2024-07-10 00:00:00,26.8,23.8,31.9,12,,109,11.4,,1005.9,
