date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-05-16 00:00:00,27.9,25.7,31.6,0.3,,91,14.2,,1012.1,
2024-05-17 00:00:00,28.5,25,31.6,0,,112,14.5,,1009.5,
2024-05-18 00:00:00,29.8,26.6,33.4,0,,142,15.2,,1005,
2024-05-19 00:00:00,27.9,24,33.5,43.9,,96,12.4,,1002.2,
2024-05-20 00:00:00,28,24.7,31,7.9,,299,7.2,,1005,
2024-05-21 00:00:00,28.5,24.8,33.2,0,,56,8.1,,1007.3,
2024-05-22 00:00:00,28.9,24,33.8,0,,55,9.1,,1008.3,
2024-05-23 00:00:00,28,25,30.6,6.6,,148,5.9,,1007.6,
2024-05-24 00:00:00,29.2,25.6,34,0,,157,9,,1007.7,
2024-05-25 00:00:00,28.4,26,30,13.5,,155,10.3,,1007.7,
2024-05-26 00:00:00,30,28,32,3,,171,14.3,,1005.2,
2024-05-27 00:00:00,32.6,28.2,36.5,0.3,,226,10.4,,1001,
2024-05-28 00:00:00,32.1,29,35.3,0,,118,10.5,,1000.9,
2024-05-29 00:00:00,31.9,29,36.5,0,,112,15.9,,1000.8,
2024-05-30 00:00:00,29.3,27,35.4,57.9,,102,16,,1002,
2024-05-31 00:00:00,26.4,24,28.6,32,,353,9.8,,1005,
2024-06-01 00:00:00,29.3,27,32,0,,166,8.7,,1007,
2024-06-02 00:00:00,30.5,28,33,8,,134,10.7,,1006.2,
2024-06-03 00:00:00,31.4,29,34,28.6,,148,10.1,,1003.1,
2024-06-04 00:00:00,28.9,26.4,35,12.7,,96,9.9,,1003.5,
2024-06-05 00:00:00,26.7,25.6,29,69.9,,71,11,,1006.4,
2024-06-06 00:00:00,26.5,24.7,28.4,5.1,,53,5.8,,1007.5,
2024-06-07 00:00:00,28.9,26,33.8,0,,91,8.5,,1004.8,
2024-06-08 00:00:00,28.7,26,32.5,39.6,,103,10.4,,1002.7,
2024-06-09 00:00:00,26.9,23,28,30.7,,89,10.2,,1003.8,
2024-06-10 00:00:00,28.8,25.8,31.6,15.7,,97,9.7,,1005.3,
2024-06-11 00:00:00,30.3,27.7,35.7,10.2,,146,12.9,,1005.1,
2024-06-12 00:00:00,32.4,28,36.5,0.3,,166,12.1,,1003.9,
2024-06-13 00:00:00,33,28.6,38.9,0,,217,11.1,,1001,
2024-06-14 00:00:00,33.3,29.7,36.7,0,,220,8.5,,999.7,
2024-06-15 00:00:00,32.4,30,36,0,,102,9.3,,1000.9,
2024-06-16 00:00:00,30.9,26,38.1,0,,127,12.5,,1002.3,
2024-06-17 00:00:00,31.4,29,37.6,2.5,,170,14.6,,1001.7,
2024-06-18 00:00:00,32.2,26.5,36.3,8.4,,155,11,,1001,
2024-06-19 00:00:00,32.2,30,37.8,0,,162,15.8,,1000.8,
2024-06-20 00:00:00,32.4,28,37,0.8,,132,11.4,,1000.6,
2024-06-21 00:00:00,31.5,31,36.1,4.1,,155,17,,1001.8,
2024-06-22 00:00:00,31.7,30,35.2,0,,143,12.4,,1003,
2024-06-23 00:00:00,29.5,27,33.6,52.1,,109,10,,1002.6,
2024-06-24 00:00:00,28.9,27,32,11.9,,96,10,,1002.8,
2024-06-25 00:00:00,28.3,26.7,31.4,11.7,,85,9.6,,1004.5,
2024-06-26 00:00:00,28,26,30.3,6.4,,67,8.4,,1007.5,
2024-06-27 00:00:00,29.4,25.5,33.4,6.4,,119,9.3,,1008.5,
2024-06-28 00:00:00,30,27.2,32.2,0.5,,157,9.4,,1006.3,
2024-06-29 00:00:00,31.2,29,36.5,9.9,,165,13.6,,1003.8,
2024-06-30 00:00:00,32.1,27.4,35.6,3,,195,14.8,,1002.5,
2024-07-01 00:00:00,31.8,30,34,0,,205,13.5,,1000.7,
2024-07-02 00:00:00,30.7,29,32,11.8,,149,9,,1001.7,
2024-07-03 00:00:00,28.4,30,30.5,7.9,,153,17.5,,1006.7,
2024-07-04 00:00:00,29.8,28,31,2.7,,153,14.6,,1008.6,
2024-07-05 00:00:00,29.5,27,32,0.4,,133,12.5,,1006.2,
2024-07-06 00:00:00,29.9,27,32,0.2,,148,11.9,,1005.5,
2024-07-07 00:00:00,30.7,28,33,1.1,,164,13.5,,1006.2,
2024-07-08 00:00:00,30.5,28,33,0,,160,14.5,,1005.5,
2024-07-09 00:00:00,30.7,29,32,0,,155,14.4,,1005.1,
2024-07-10 00:00:00,31,29,34,4.6,,143,12.1,,1005,
2024-07-11 00:00:00,31,28,33,0,,139,12.7,,1003.3,
