date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-05-16 00:00:00,28.4,27,31.2,1,,28,10.6,,1011.6,
2024-05-17 00:00:00,28.4,26,31,1.8,,356,8.2,,1009.5,
2024-05-18 00:00:00,30.2,26.5,34,0,,123,11,,1004.8,
2024-05-19 00:00:00,32.3,26.1,38.9,0,,239,11.9,,1002,
2024-05-20 00:00:00,28.2,26,31,0,,359,14.3,,1005.9,
2024-05-21 00:00:00,27.5,25.8,29.6,10.2,,277,7,,1008.1,
2024-05-22 00:00:00,27.2,26,29.4,1.3,,351,9.3,,1008.5,
2024-05-23 00:00:00,27.8,26,31.8,7.1,,11,7.7,,1007.9,
2024-05-24 00:00:00,28.6,25.9,31.2,0.8,,146,8.8,,1007.7,
2024-05-25 00:00:00,28.8,26,32.5,1.8,,170,10.1,,1007.1,
2024-05-26 00:00:00,30.4,25.4,36.2,0,,203,9.1,,1005.5,
2024-05-27 00:00:00,34.1,30.5,38,0,,251,17.2,,1002.6,
2024-05-28 00:00:00,33.8,33.1,35.3,0,,256,20.3,,1001.5,
2024-05-29 00:00:00,35.9,33,39.8,0,,250,18,,1000.8,
2024-05-30 00:00:00,31.2,25.5,38.4,0,,280,15.9,,1001.2,
2024-05-31 00:00:00,25.6,25,26.6,116.1,,306,15.5,,1006,
2024-06-01 00:00:00,27.2,24.4,32.1,24.6,,229,7.4,,1007.9,
2024-06-02 00:00:00,30.5,26,36.7,0,,227,11.2,,1006.5,
2024-06-03 00:00:00,31.5,28.8,35.5,0,,233,18.7,,1004,
2024-06-04 00:00:00,31.4,27.7,37.2,0.9,,244,16.1,,1004,
2024-06-05 00:00:00,30.7,25.9,35.1,0,,353,9.3,,1006.1,
2024-06-06 00:00:00,27.4,25.2,29.2,3.1,,3,10,,1007.7,
2024-06-07 00:00:00,31,26.5,35,0,,193,6.6,,1004.9,
2024-06-08 00:00:00,31.9,29.3,34.9,0,,191,11.9,,1002.9,
2024-06-09 00:00:00,30.7,28.6,34.1,0,,151,9.8,,1003.2,
2024-06-10 00:00:00,31,28.2,34.5,0,,268,6.4,,1004.7,
2024-06-11 00:00:00,32.2,29,36.7,0,,217,8,,1004.9,
2024-06-12 00:00:00,33.4,29.2,37.1,0,,237,16.4,,1004.6,
2024-06-13 00:00:00,33.9,29.2,37.7,0,,240,22.6,,1002.5,
2024-06-14 00:00:00,34.3,31.2,38.8,0,,243,19.2,,1001,
2024-06-15 00:00:00,34.5,30.2,38.9,0,,245,14.9,,1001.5,
2024-06-16 00:00:00,34.7,31,40,0,,221,13.8,,1002.5,
2024-06-17 00:00:00,35.1,31.2,39.6,0,,235,15,,1002.3,
2024-06-18 00:00:00,33.1,29.2,36.8,0,,234,15.6,,1001.6,
2024-06-19 00:00:00,34.5,29.8,38.2,0,,236,15.8,,1000.8,
2024-06-20 00:00:00,34.3,29.4,39.6,0,,215,14.7,,1000.9,
2024-06-21 00:00:00,32.6,28.6,38.6,0,,177,13.7,,1001.4,
2024-06-22 00:00:00,30.8,28.1,34.8,0,,143,13.6,,1002.5,
2024-06-23 00:00:00,28.3,26.7,31.6,7.9,,102,8.6,,1003.4,
2024-06-24 00:00:00,29.1,26.2,33.5,0,,193,5.9,,1002.9,
2024-06-25 00:00:00,29.9,24.6,33.2,49,,40,8.1,,1004.2,
2024-06-26 00:00:00,29.6,25,32.3,0,,66,10.1,,1006.8,
2024-06-27 00:00:00,28.8,24.9,32.3,0,,174,8.4,,1008.2,
2024-06-28 00:00:00,31.1,26.8,35.7,0,,180,9.3,,1005.9,
2024-06-29 00:00:00,31.4,27.2,37.2,0,,213,12.7,,1004.5,
2024-06-30 00:00:00,31.6,27.9,35.5,0,,220,17.9,,1004.1,
2024-07-01 00:00:00,31.2,28.4,35.5,0,,238,19.2,,1002.8,
2024-07-02 00:00:00,31.5,28.1,36.5,0.3,,221,15.6,,1002.9,
2024-07-03 00:00:00,30,26.3,34.2,0,,228,9.8,,1006.5,
2024-07-04 00:00:00,28.8,25.7,32.7,11.2,,280,9.3,,1008.5,
2024-07-05 00:00:00,28.7,24.8,33,1.2,,208,9.5,,1006,
2024-07-06 00:00:00,29.7,25.4,34.6,0.3,,160,11.3,,1005.5,
2024-07-07 00:00:00,29.9,26.2,33.3,3.3,,175,11,,1006.3,
2024-07-08 00:00:00,30.2,26,35.5,1.5,,182,11.2,,1005.3,
2024-07-09 00:00:00,31.2,26.6,36.7,0,,201,12.3,,1004.9,
2024-07-10 00:00:00,32.1,28.2,37.7,0.2,,217,14.3,,1005.2,
2024-07-11 00:00:00,31.9,27.4,37.5,0.2,,218,14.9,,1003.4,
2024-07-12 00:00:00,32.2,27.9,37.2,0.4,,213,14.6,,1001.3,
2024-07-13 00:00:00,31.6,27.7,36.1,6,,205,15.4,,1000.6,
2024-07-14 00:00:00,29.5,26,33.5,5.6,,36,9.4,,1003.3,
2024-07-15 00:00:00,27.2,25.4,31.2,55.1,,11,18.5,,1004.3,
2024-07-16 00:00:00,27.4,25.4,30.7,15.4,,76,13.2,,1004.5,
2024-07-17 00:00:00,27.3,24.3,31.6,17.3,,343,8.7,,1004.2,
2024-07-18 00:00:00,27.3,24.9,31.5,27.3,,296,8.2,,1003.8,
2024-07-19 00:00:00,27.8,24.9,32,6.1,,292,8.2,,1003.4,
2024-07-20 00:00:00,28.6,24.9,33.2,1.3,,268,7.5,,1004.6,
2024-07-21 00:00:00,28.4,24.9,33,4,,333,9.3,,1004.6,
2024-07-22 00:00:00,28.8,25.1,32.5,0.8,,296,9.1,,1002.8,
2024-07-23 00:00:00,29.5,26.7,32.7,1.7,,247,19,,999.1,
2024-07-24 00:00:00,29.7,26.5,34,6.9,,234,19.9,,996.7,
2024-07-25 00:00:00,28.5,25.8,30.9,40,,261,14,,996.4,
2024-07-26 00:00:00,31.4,28.3,36.2,0,,245,20.6,,997.3,
2024-07-27 00:00:00,32,28.9,36.7,0,,246,18.1,,1000.1,
2024-07-28 00:00:00,30.4,28.2,34,0,,239,13.3,,1001.4,
2024-07-29 00:00:00,29.5,27.6,31.9,0,,228,11.2,,1001.6,
2024-07-30 00:00:00,27.9,26,30.6,3.2,,200,9.1,,1002.9,
2024-07-31 00:00:00,28.7,26.5,33.7,0.4,,228,10.5,,1004.4,
2024-08-01 00:00:00,29,26.1,32.1,0,,247,10.9,,1005.2,
2024-08-02 00:00:00,29.2,26.7,32.1,0,,238,12.6,,1005,
2024-08-03 00:00:00,28.2,25.6,31.7,14.5,,244,8.4,,1006.3,
2024-08-04 00:00:00,29.6,25.5,35.2,0.1,,183,11.2,,1006.4,
2024-08-05 00:00:00,30,25.8,35.5,0.3,,189,9.1,,1005.6,
2024-08-06 00:00:00,30.6,26.8,35.5,0.5,,190,10.4,,1005,
2024-08-07 00:00:00,30.8,27.1,36.2,0.2,,206,10.4,,1005.4,
2024-08-08 00:00:00,31.5,27.5,38,0,,242,12.7,,1005.4,
2024-08-09 00:00:00,32.7,27.8,38.1,0,,255,15,,1003.4,
2024-08-10 00:00:00,33.1,29.2,37.1,0.2,,253,19.1,,1001.7,
2024-08-11 00:00:00,31,28.4,36.1,8.5,,254,16.4,,1001.3,
2024-08-12 00:00:00,30.4,27.4,35.1,2.7,,257,9.2,,1001.6,
2024-08-13 00:00:00,31.1,27.4,37.2,9.1,,236,11.6,,1003.8,
2024-08-14 00:00:00,30.3,26.2,34.2,1.5,,241,7.5,,1005,
2024-08-15 00:00:00,29.6,26.6,32.6,7.2,,327,6.1,,1004.4,
2024-08-16 00:00:00,29.1,27.1,33.1,18.8,,293,6.7,,1004.3,
2024-08-17 00:00:00,29.4,25.7,35.2,2.5,,284,7.3,,1005.4,
2024-08-18 00:00:00,31.1,27.3,36.7,1.6,,238,10.5,,1005.4,
2024-08-19 00:00:00,31.7,28.3,35.7,0,,248,12.9,,1004.1,
2024-08-20 00:00:00,31.7,28.3,36.2,0,,229,15.4,,1004.6,
2024-08-21 00:00:00,32.1,28.3,36.5,0,,215,13.3,,1005.5,
2024-08-22 00:00:00,31.8,27.5,37,0.2,,175,12.3,,1006.5,
2024-08-23 00:00:00,31,27.8,34.7,1.9,,215,9.5,,1007.7,
2024-08-24 00:00:00,30.8,26.7,35,0,,232,9.9,,1007.1,
2024-08-25 00:00:00,29,26.2,32.7,0,,301,8.4,,1006.2,
2024-08-26 00:00:00,30.7,27,35.9,0,,319,8.5,,1005.6,
2024-08-27 00:00:00,31.2,26.7,36.2,0,,207,8.2,,1005.4,
2024-08-28 00:00:00,32.3,27.8,37.9,0,,,,,,
2024-08-29 00:00:00,33.5,28.6,38.5,0,,,,,,
2024-08-30 00:00:00,29.2,,36.6,1.3,,,,,,
2024-08-31 00:00:00,29.4,26,34.3,0,,,,,,
2024-09-01 00:00:00,29.2,27,32.4,33.3,,,,,,
2024-09-02 00:00:00,29.9,27,33,3.8,,,,,,
2024-09-03 00:00:00,30.2,,35,0,,,,,,
2024-09-04 00:00:00,30.8,27.3,34.4,0,,,,,,
2024-09-05 00:00:00,30.9,26.5,36.4,0,,303,9.6,,1001.2,
2024-09-06 00:00:00,26.9,25,29.3,14.2,,309,14.5,,1000.2,
2024-09-07 00:00:00,28.2,25.3,30.6,2,,273,20.2,,997.9,
2024-09-08 00:00:00,30.9,26.2,35.2,3.6,,237,14.2,,1000.7,
2024-09-09 00:00:00,30.1,26.3,33.8,7.6,,261,8.4,,1002.9,
2024-09-10 00:00:00,27.3,24.7,31.3,17,,0,7.7,,1004.9,
2024-09-11 00:00:00,27.5,25.8,30,19.3,,322,6.7,,1007.2,
2024-09-12 00:00:00,27,25.6,28.7,65,,335,9.7,,1007.1,
2024-09-13 00:00:00,27.3,24.8,31.6,6.8,,333,11.7,,1005.2,
2024-09-14 00:00:00,28.4,24.5,32.2,0,,317,7.2,,1003.3,
2024-09-15 00:00:00,29.3,25.5,33.7,0,,307,7.7,,1002.4,
2024-09-16 00:00:00,27.9,25,32.5,4.9,,11,13.3,,1004,
2024-09-17 00:00:00,26.3,23.8,28.7,25.9,,7,14.8,,1004.4,
2024-09-18 00:00:00,26.7,23.8,31,30,,2,16.8,,1003.4,
2024-09-19 00:00:00,25.6,23.5,27.7,95.4,,3,26,,1001.5,
