date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-05-16 00:00:00,27.8,24.5,32,0.3,,76,17.2,,1012.6,
2024-05-17 00:00:00,27.8,25,31.5,0,,102,13.9,,1009.9,
2024-05-18 00:00:00,27.7,26.3,30,0,,145,17.2,,1005.4,
2024-05-19 00:00:00,26.2,24.5,32,90.9,,114,14.1,,1002.4,
2024-05-20 00:00:00,26.7,23.3,30.4,2.8,,4,10.1,,1005.7,
2024-05-21 00:00:00,27.1,23.6,32.8,0,,316,7.3,,1008.1,
2024-05-22 00:00:00,27.2,23.5,32.5,1.3,,1,8.3,,1008.9,
2024-05-23 00:00:00,27.6,24.1,31.2,8.1,,61,7,,1008.2,
2024-05-24 00:00:00,27.9,25.7,32,0,,150,7.9,,1007.9,
2024-05-25 00:00:00,27,24.9,29.5,11,,165,14.5,,1007.6,
2024-05-26 00:00:00,28.3,25.5,31.5,6.8,,179,18.7,,1005.1,
2024-05-27 00:00:00,31.5,27.8,35.9,0,,214,15.8,,1001.2,
2024-05-28 00:00:00,30.4,27.1,33.8,0.5,,36,9.7,,1001,
2024-05-29 00:00:00,30.3,27.4,34.6,0,,104,15.3,,1001,
2024-05-30 00:00:00,28.4,24.3,31.7,3.8,,80,16.5,,1002.4,
2024-05-31 00:00:00,26.3,24,28.5,2,,327,12.1,,1005.8,
2024-06-01 00:00:00,26.2,24.1,29.2,1.3,,161,8.1,,1007.6,
2024-06-02 00:00:00,28.4,25,31.7,1.8,,133,10.3,,1006.4,
2024-06-03 00:00:00,29.4,26.5,33.7,3,,123,9.9,,1003.3,
2024-06-04 00:00:00,27.7,25.4,29.9,15.5,,48,11.4,,1004.5,
2024-06-05 00:00:00,26.3,25,27.7,0.5,,42,13.8,,1007,
2024-06-06 00:00:00,26.6,25,29.5,0.5,,295,7.8,,1007.7,
2024-06-07 00:00:00,27.2,25.4,29.8,1.5,,141,8.5,,1005.2,
2024-06-08 00:00:00,28,26.5,31,0.3,,111,9.7,,1003.3,
2024-06-09 00:00:00,25.6,24.4,27.8,228.1,,110,12.4,,1003.9,
2024-06-10 00:00:00,27.6,24.5,30.8,33.3,,144,13.6,,1005.6,
2024-06-11 00:00:00,29.4,27.4,32.6,0,,168,16.7,,1004.9,
2024-06-12 00:00:00,30.9,28.2,35.5,0,,190,13.9,,1003.8,
2024-06-13 00:00:00,31.5,28,36.5,0,,211,15.3,,1001.1,
2024-06-14 00:00:00,31.4,29,35.2,0,,212,13,,999.8,
2024-06-15 00:00:00,31.2,29.2,34.2,0,,135,11.4,,1001.3,
2024-06-16 00:00:00,31.1,27.6,35.6,0,,160,13.1,,1002.3,
2024-06-17 00:00:00,31.5,25,36.7,1.8,,184,18.8,,1001.8,
2024-06-18 00:00:00,30.6,27,33.6,3.8,,177,16.6,,1001,
2024-06-19 00:00:00,30.6,27.9,35,0,,165,17,,1000.6,
2024-06-20 00:00:00,30.6,26.8,33.6,5.1,,163,17.7,,1000.7,
2024-06-21 00:00:00,30.3,28.2,32.9,0,,157,20.6,,1001.7,
2024-06-22 00:00:00,30,27.2,33.8,0,,153,15.8,,1003.2,
2024-06-23 00:00:00,29.1,25.4,34.1,2,,95,10,,1003.2,
2024-06-24 00:00:00,26.6,24.9,29.5,63,,116,9.1,,1003,
2024-06-25 00:00:00,26.5,24.4,29.1,24.8,,114,12.9,,1005,
2024-06-26 00:00:00,26.2,25.6,28.4,25.9,,128,14.3,,1007.9,
2024-06-27 00:00:00,27.4,24.7,30.5,24.4,,151,14.5,,1008.7,
2024-06-28 00:00:00,27.3,25.5,28.5,7.1,,171,19.8,,1005.9,
2024-06-29 00:00:00,29.8,27.4,32.2,0,,181,22.6,,1003.4,
2024-06-30 00:00:00,30.4,28.3,33.5,0,,192,22.6,,1001.9,
2024-07-01 00:00:00,30.4,28.2,34.1,0,,195,22.2,,1000.4,
2024-07-02 00:00:00,29.7,25.8,33.1,14.2,,195,16.6,,1001.9,
2024-07-03 00:00:00,28.6,26,30.9,5.7,,158,20.1,,1006.8,
2024-07-04 00:00:00,27.5,24.7,30.2,4.5,,151,14.2,,1009.2,
2024-07-05 00:00:00,28.2,25.7,31.1,1.3,,152,15,,1006.3,
2024-07-06 00:00:00,28.2,25.5,31.3,0.6,,154,15.7,,1005.6,
2024-07-07 00:00:00,28.7,26,31.8,0.9,,168,17.3,,1006.4,
2024-07-08 00:00:00,28.9,26.2,31.7,1.5,,169,18.6,,1005.3,
2024-07-09 00:00:00,29.4,27.3,32.3,1.1,,157,18.4,,1004.9,
2024-07-10 00:00:00,29.1,27.8,34,7.1,,157,17.9,,1005,
2024-07-11 00:00:00,29.7,27.3,33.2,0.3,,156,16.3,,1003.4,
2024-07-12 00:00:00,29.4,26,32.9,3.3,,154,14,,1001.4,
2024-07-13 00:00:00,29.7,27.5,32.8,1,,138,15.5,,1001.1,
2024-07-14 00:00:00,27.9,25.2,30.8,6.1,,117,14.8,,1004.2,
2024-07-15 00:00:00,27.6,24.9,31.1,19.1,,55,19.1,,1005.4,
2024-07-16 00:00:00,27.3,24.3,30.7,12.6,,78,16.9,,1005.6,
2024-07-17 00:00:00,27,24.6,30.1,24,,68,17,,1004.5,
2024-07-18 00:00:00,26.5,24.2,29.1,53.2,,106,14.4,,1004.2,
2024-07-19 00:00:00,27.1,24.1,30.1,15.7,,116,13.8,,1004.2,
2024-07-20 00:00:00,27.9,25.1,30.7,2.2,,126,13.1,,1005.1,
2024-07-21 00:00:00,28.1,24.8,31.5,10.5,,92,10.8,,1004.9,
2024-07-22 00:00:00,26.6,25,29,35.1,,313,13.8,,1001.9,
2024-07-23 00:00:00,24.8,24.8,25.2,95,,261,25,,996.8,
2024-07-24 00:00:00,27,24.8,31.1,62,,264,11.5,,995.7,
2024-07-25 00:00:00,27.1,24.9,31.7,15.4,,276,9.3,,995.3,
2024-07-26 00:00:00,30.2,24.6,35.5,0,,264,9.4,,995.9,
2024-07-27 00:00:00,30.7,27,35.5,0,,127,9.7,,999.1,
2024-07-28 00:00:00,28.4,26.8,30.6,2.5,,74,9.5,,1001.4,
2024-07-29 00:00:00,26.4,24.7,30.3,26.2,,115,11.1,,1001.9,
2024-07-30 00:00:00,26.1,24,27,47.9,,151,12.1,,1002.3,
2024-07-31 00:00:00,26.9,25,29.5,10,,199,17.8,,1003.4,
2024-08-01 00:00:00,27.6,24.6,30.9,17.3,,198,19.3,,1003.9,
2024-08-02 00:00:00,27.2,24.4,30.2,12.6,,194,18.4,,1003.8,
2024-08-03 00:00:00,27.9,24,31.1,11.3,,191,18.6,,1005.3,
2024-08-04 00:00:00,28.3,25.9,31.3,0.5,,153,12.8,,1006.8,
2024-08-05 00:00:00,28.4,26.2,31.3,7.3,,137,10.8,,1006.1,
2024-08-06 00:00:00,28.8,25.7,31.9,1.8,,152,11.2,,1005.2,
2024-08-07 00:00:00,29.2,26.2,32.4,1.9,,159,13.3,,1005.4,
2024-08-08 00:00:00,29.6,27.1,33.2,0.1,,168,17,,1005.2,
2024-08-09 00:00:00,30.5,27.6,34.2,0.3,,181,18.2,,1002.6,
2024-08-10 00:00:00,31.2,27.8,34.9,8.4,,194,15.4,,1000.8,
2024-08-11 00:00:00,28.8,26.8,31.2,15.7,,324,7.9,,1001,
2024-08-12 00:00:00,27.2,24.9,29.5,19.9,,124,8.3,,1002.1,
2024-08-13 00:00:00,26.7,24.9,30.7,14.2,,320,6.7,,1004.5,
2024-08-14 00:00:00,26.7,24.5,30.7,26.3,,283,7.2,,1005.6,
2024-08-15 00:00:00,27.6,26,31.5,7.1,,294,6.9,,1004.6,
2024-08-16 00:00:00,27.4,25.4,31.9,6.5,,295,7.6,,1004.3,
2024-08-17 00:00:00,26.9,24.3,31.2,4.7,,294,6.8,,1005.9,
2024-08-18 00:00:00,27.6,25.2,31,16.2,,208,6.4,,1005.8,
2024-08-19 00:00:00,27.9,25.8,31.5,11.4,,230,6.7,,1004.2,
2024-08-20 00:00:00,28.6,25.9,31.7,11.9,,166,9.4,,1004.5,
2024-08-21 00:00:00,28.4,25.1,30.8,8.9,,178,10.9,,1005.8,
2024-08-22 00:00:00,28.9,25.4,31.9,28.2,,167,17.1,,1007.2,
2024-08-23 00:00:00,27.6,24.7,30.1,18.3,,148,11.1,,1008.7,
2024-08-24 00:00:00,26.3,22.6,31.4,10.9,,125,8.8,,1008.1,
2024-08-25 00:00:00,27.6,23,31.5,53.3,,152,9.5,,1007.2,
2024-08-26 00:00:00,28.7,24.9,33.3,0,,170,6.7,,1006.4,
2024-08-27 00:00:00,29.7,24.2,33.5,3.6,,192,6.9,,1006.2,
2024-08-28 00:00:00,30.6,27.7,34.5,0,,,,,,
2024-08-29 00:00:00,30.1,27.6,33.2,0,,,,,,
2024-08-30 00:00:00,27.8,,32.5,27.7,,,,,,
2024-08-31 00:00:00,29.2,26.4,33.2,0.3,,,,,,
2024-09-01 00:00:00,27.4,26,30.4,0.3,,,,,,
2024-09-02 00:00:00,29.7,25.8,33.7,1.3,,,,,,
2024-09-03 00:00:00,29.6,,33.3,0,,,,,,
2024-09-04 00:00:00,30.5,26,35,0,,,,,,
2024-09-05 00:00:00,31.6,28,36.2,0,,307,8.6,,1001.4,
2024-09-06 00:00:00,28.5,24.9,33.5,1,,322,20.4,,999.6,
2024-09-07 00:00:00,25.5,24.9,26.8,245.9,,300,59.3,,987,
2024-09-08 00:00:00,27.6,26.1,29.5,42.6,,154,29.6,,1000.1,
2024-09-09 00:00:00,26.7,24.8,29.6,0,,127,19.4,,1003.8,
2024-09-10 00:00:00,25.2,23.5,27.3,41.4,,48,10.3,,1006.1,
2024-09-11 00:00:00,24.6,22.9,25.5,214.1,,77,13.3,,1007.5,
2024-09-12 00:00:00,27.1,24.4,31.2,2.8,,4,8.7,,1007.5,
2024-09-13 00:00:00,26.7,23.6,30.2,1,,359,9.5,,1005.2,
2024-09-14 00:00:00,29.5,25.6,33.7,0,,358,6,,1003.3,
2024-09-15 00:00:00,28.8,26.5,34,5.1,,37,7.9,,1002.9,
2024-09-16 00:00:00,27.5,23.1,33.4,16,,318,9.1,,1004.8,
2024-09-17 00:00:00,26.4,24.2,30.1,30.1,,323,8.6,,1005.3,
2024-09-18 00:00:00,26.7,24.7,31.2,17.8,,335,11.4,,1003.7,
2024-09-19 00:00:00,26.6,24.7,30.5,8.1,,341,10.9,,1002.6,
2024-09-20 00:00:00,26.8,24.6,31.4,8.1,,7,12.3,,1003.2,
2024-09-21 00:00:00,26.3,23.6,31.1,56,,325,10.5,,1004.4,
2024-09-22 00:00:00,24.4,23.8,25,55,,6,16,,1005.9,
2024-09-23 00:00:00,23.9,22.6,25.7,9.1,,345,12.6,,1009.4,
2024-09-24 00:00:00,24.8,22.6,28,0,,296,8.5,,1010.3,
2024-09-25 00:00:00,24.5,23.4,26.6,0.9,,196,4.5,,1011.3,
2024-09-26 00:00:00,25.8,22.4,29.9,0.6,,170,6.8,,1011.3,
2024-09-27 00:00:00,26.5,22.6,30.2,1.8,,178,9.6,,1010.4,
2024-09-28 00:00:00,27.5,24.2,30.9,0.4,,168,15,,1008.2,
2024-09-29 00:00:00,27.7,26,29.3,10.2,,146,15.3,,1007,
2024-09-30 00:00:00,26.6,24.3,29.3,25.2,,115,12.7,,1006.7,
2024-10-01 00:00:00,26.4,22.5,34,13,,8,17.1,,1010.1,
2024-10-02 00:00:00,22.4,20.2,25.7,0,,348,16.6,,1014.7,
2024-10-03 00:00:00,22.5,19,26.8,0,,345,10.5,,1015.6,
2024-10-04 00:00:00,23.1,18.7,28.1,0,,44,9.6,,1015.2,
2024-10-05 00:00:00,23.6,18.5,28.5,0,,31,7.8,,1014.4,
2024-10-06 00:00:00,24.9,20.3,30,0,,0,8.5,,1014.7,
2024-10-07 00:00:00,26.5,23.1,31,0,,1,11,,1015.3,
2024-10-08 00:00:00,25.9,22.6,30.1,0,,17,11.7,,1015.1,
2024-10-09 00:00:00,25,20.9,29.9,0,,39,9.8,,1014,
2024-10-10 00:00:00,24.7,20.8,29.5,0,,62,9.5,,1013.3,
2024-10-11 00:00:00,25,20.4,30.5,0,,70,9.4,,1012.8,
2024-10-12 00:00:00,25.2,21.7,29,0.4,,89,11.1,,1013.5,
2024-10-13 00:00:00,25.8,22.3,29.9,0.3,,87,12.3,,1013.2,
2024-10-14 00:00:00,25.8,22.2,29.7,6.1,,70,10,,1012.3,
2024-10-15 00:00:00,25.2,23.2,29.2,10.5,,40,12.7,,1012.6,
2024-10-16 00:00:00,25.6,22.9,29.4,1.9,,46,12.4,,1013.1,
2024-10-17 00:00:00,25.8,23.5,28.7,2.2,,89,12.6,,1011.7,
2024-10-18 00:00:00,26,23.6,29.2,3.1,,134,8.3,,1011.4,
2024-10-19 00:00:00,26.3,23.6,30,3,,75,11.3,,1013.6,
2024-10-20 00:00:00,26.8,23.7,30.4,0,,70,16.1,,1015.2,
2024-10-21 00:00:00,25.9,23.8,29.1,2.7,,79,13.2,,1014.5,
