date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
4/1/2025 0:00,12.6,8.1,19,0,,140,13.9,,1016.7,
4/2/2025 0:00,13.7,8.3,16.3,0,,141,14.6,,1017.7,
4/3/2025 0:00,18.2,12.2,23.7,0,,138,14.4,,1016.2,
4/4/2025 0:00,22.9,13.7,28.9,0,,152,15.6,,1010.9,
4/5/2025 0:00,18.1,16.1,28.9,1.8,,141,13.4,,1012.9,
4/6/2025 0:00,18.8,16.1,24.7,0,,148,15.2,,1013.8,
4/7/2025 0:00,19.5,15.8,24.7,0,,141,13.2,,1015.1,
4/8/2025 0:00,22.9,16.7,29.6,0,,149,12.1,,1014.3,
4/9/2025 0:00,22.3,17.5,29.6,0,,152,13.6,,1010.9,
4/10/2025 0:00,23.6,16.8,29.9,0,,154,12.8,,1007.4,
4/11/2025 0:00,23.9,17.7,29.9,0,,166,15.6,,1005.3,
4/12/2025 0:00,17.1,9.3,28.9,6.9,,91,16,,1012.3,
4/13/2025 0:00,14.4,9.3,26.9,0.8,10,272,7.9,,1019.5,
4/14/2025 0:00,19.9,9.4,26.3,0,,174,8.7,,1015.6,
4/15/2025 0:00,22.6,14.5,29.2,0,,145,10.6,,1013.8,
4/16/2025 0:00,24.3,16.8,29.5,0,,155,14,,1008.5,
4/17/2025 0:00,25.1,19.2,30.7,0,,,,,,
4/18/2025 0:00,25.6,20.3,30.7,0,,,,,,
4/19/2025 0:00,25.2,19.5,31.1,0,,,,,,
4/20/2025 0:00,24.1,19.8,31.1,0,,,,,,
4/21/2025 0:00,23.1,19.6,30.2,0.3,,,,,,
4/22/2025 0:00,25.3,18.3,31.3,0,,,,,,
4/23/2025 0:00,25.8,21.3,31.4,0,,156,12.6,,1007.3,
4/24/2025 0:00,25,17.4,31.7,0,,158,13.7,,1007.9,
4/25/2025 0:00,21.8,17.4,31.7,0,,143,13.6,,1010.8,
4/26/2025 0:00,24.7,18,31,0,,164,16.3,,1010.6,
4/27/2025 0:00,26.1,19.7,32.4,0,,167,13.8,,1010.7,
4/28/2025 0:00,21.7,18.9,32.4,3,,123,12,,1013.8,
4/29/2025 0:00,19.9,18.6,25.3,0,,152,13.1,,1013.4,
4/30/2025 0:00,20.3,17,25.9,2.3,,134,8.4,,1013.5,
5/1/2025 0:00,21.2,16.9,26.5,0,,213,9.3,,1015.9,
5/2/2025 0:00,22.3,17.4,27.1,0,,154,8.8,,1012.7,
5/3/2025 0:00,22.8,18.2,29.6,0.3,,151,10.5,,1009.4,
5/4/2025 0:00,25.2,18.8,29.8,0,,164,13,,1006.9,
5/5/2025 0:00,24.5,17.6,31.4,0,,161,9.8,,1007,
5/6/2025 0:00,25.5,18.8,33,0.3,,157,11.4,,1006.8,
5/7/2025 0:00,26.2,20.7,33.1,0,,168,14.8,,1005.2,
5/8/2025 0:00,26.1,19.2,32.6,0,,171,15,,1004.5,
5/9/2025 0:00,24.2,19.3,30.2,2.7,,133,10.3,,1008.2,
5/10/2025 0:00,22.6,16.2,29.8,14.7,,151,13.6,,1011.2,
5/11/2025 0:00,19.2,13.8,26.1,1,,221,9.6,,1014.2,
5/12/2025 0:00,21.3,14.7,28.9,0,,140,11.3,,1010.4,
5/13/2025 0:00,22.5,15.8,30.7,0,,147,14.2,,1008.9,
5/14/2025 0:00,,,,,,,,,,
