date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-05-16 00:00:00,21.2,18.2,29.8,0.3,,165,10.4,,1014.9,
2024-05-17 00:00:00,22.7,18.2,28.9,0,,149,15.7,,1010.9,
2024-05-18 00:00:00,25.3,19.5,29.9,0,,158,13.2,,1006.1,
2024-05-19 00:00:00,23.3,17.5,31.3,29.2,,131,7.7,,1006.1,
2024-05-20 00:00:00,21.7,17.5,31.3,2.5,,248,7.8,,1010.6,
2024-05-21 00:00:00,23.2,18.2,28.8,0.5,,191,6.9,,1011.9,
2024-05-22 00:00:00,21.1,17.5,28.8,0,,193,6.8,,1012.3,
2024-05-23 00:00:00,23.4,17.2,29.1,0,,152,7.7,,1011,
2024-05-24 00:00:00,24.7,18.7,30.7,0,,138,9.9,,1010.4,
2024-05-25 00:00:00,22,20.2,30.7,9.7,,148,12,,1009.2,
2024-05-26 00:00:00,24.1,19.8,28.4,4.6,,145,12.1,,1007.2,
2024-05-27 00:00:00,26.4,20.2,30.7,0,,97,9.4,,1005.1,
2024-05-28 00:00:00,25.6,22,30.7,2.3,,135,10.7,,1004.2,
2024-05-29 00:00:00,25.5,22,30.6,0.8,,154,12.8,,1003.2,
2024-05-30 00:00:00,25.6,20.9,32.3,0,,96,12.3,,1005.9,
2024-05-31 00:00:00,23.1,20.9,32.3,0,,130,10.1,,1009.3,
2024-06-01 00:00:00,23.7,21.1,27.9,0,,145,10.8,,1010.1,
2024-06-02 00:00:00,24.4,21.1,28.9,1.8,,154,12.2,,1008.7,
2024-06-03 00:00:00,25.7,21.1,31.8,0,,138,10.3,,1006.8,
2024-06-04 00:00:00,26.1,21.1,32.4,0,,141,9.6,,1007.1,
2024-06-05 00:00:00,20.9,18.7,32.4,44.5,,125,9.1,,1010,
2024-06-06 00:00:00,22.2,18.7,26,1.3,,162,11.9,,1010.1,
2024-06-07 00:00:00,23.9,19.5,28,0,,145,10.5,,1007.2,
2024-06-08 00:00:00,23.3,21,28,0.8,,131,8.5,,1005.9,
2024-06-09 00:00:00,21.3,20,27.2,23.4,,137,7.7,,1006.9,
2024-06-10 00:00:00,22.3,19.7,27.2,10.4,,143,8.7,,1008.1,
2024-06-11 00:00:00,23.8,19.7,28.6,2.3,,144,10.5,,1007.3,
2024-06-12 00:00:00,24.1,21.2,29.3,6.4,,110,8.3,,1007.5,
2024-06-13 00:00:00,24.6,20.6,29.3,2.8,,122,10.1,,1005.2,
2024-06-14 00:00:00,25.6,21.2,30.7,1.8,,88,7,,1004.1,
2024-06-15 00:00:00,22.3,21.3,30.7,16,,93,5.6,,1005.8,
2024-06-16 00:00:00,23.5,21.2,26.3,1.5,,126,9.2,,1005.7,
2024-06-17 00:00:00,25.2,22.1,28.9,0,,113,9.1,,1005.4,
2024-06-18 00:00:00,25,21.8,28.9,0,,129,11,,1003.9,
2024-06-19 00:00:00,25.9,21.8,31.2,0,,150,12.3,,1003.3,
2024-06-20 00:00:00,25.8,21.6,31.2,0,,138,12,,1003.2,
2024-06-21 00:00:00,26.4,22.3,30.9,0,,138,12.2,,1004.1,
2024-06-22 00:00:00,25.1,22.4,30.9,0,,144,11.4,,1005.6,
2024-06-23 00:00:00,24.8,22,30.2,5.8,,143,10.6,,1006,
2024-06-24 00:00:00,23.8,21.4,30.2,2,,161,7.5,,1006.3,
2024-06-25 00:00:00,22.4,20.7,29.1,1,,243,9.7,,1008.5,
2024-06-26 00:00:00,22.7,20.3,26.6,1.5,,156,8.9,,1010.3,
2024-06-27 00:00:00,24.4,20.4,28.7,0,,151,13.6,,1010.3,
2024-06-28 00:00:00,24.7,21.6,29.3,0,,153,13.8,,1006.8,
2024-06-29 00:00:00,25.7,21.6,31.2,0,,162,12.9,,1005.3,
2024-06-30 00:00:00,26.1,22.4,31.2,0,,145,12.4,,1004.7,
2024-07-01 00:00:00,25.6,22.4,30.2,0,,131,11.5,,1003.6,
2024-07-02 00:00:00,23.1,21.7,28.5,15.2,,96,6.5,,1005.4,
2024-07-03 00:00:00,22.1,20.6,27.4,1.3,,142,12.5,,1008.1,
2024-07-04 00:00:00,23.6,20.5,27.9,1,,149,13.3,,1010.6,
2024-07-05 00:00:00,25.1,20.5,29.8,5.6,,156,13.1,,1007.7,
2024-07-06 00:00:00,24.4,20.9,29.8,0,,154,13.1,,1007,
2024-07-07 00:00:00,25.1,21.6,29.7,0,,157,14.4,,1007.2,
2024-07-08 00:00:00,25.4,21.7,30.7,0,,158,13.9,,1006.4,
2024-07-09 00:00:00,25.5,21.7,30.7,0,,157,13.1,,1006.2,
2024-07-10 00:00:00,24.7,21.9,30,0,,151,13.1,,1006.8,
2024-07-11 00:00:00,24.7,21.9,28.4,0,,154,13.2,,1005.4,
2024-07-12 00:00:00,25.2,21.8,29.9,0.5,,149,11,,1003.7,
2024-07-13 00:00:00,24.6,21.8,29.9,1.8,,150,12.5,,1003.1,
2024-07-14 00:00:00,24.7,21.5,28.8,1.5,,148,13.9,,1005.8,
2024-07-15 00:00:00,25.1,20.4,28.9,0,,146,12.7,,1008.9,
2024-07-16 00:00:00,25,20.4,30,0,,141,12.2,,1008.8,
2024-07-17 00:00:00,25.3,20.4,30.7,0,,148,11.6,,1007.6,
2024-07-18 00:00:00,26.1,21.6,32,0,,152,10.3,,1006.9,
2024-07-19 00:00:00,24.9,21.4,32,0,,149,13.8,,1005.7,
2024-07-20 00:00:00,24.8,21.1,29.9,0,,148,14,,1007,
2024-07-21 00:00:00,24,20.3,29.9,16.8,,145,12.5,,1007.7,
2024-07-22 00:00:00,25.6,20.6,32.2,0,,147,8.2,,1006.6,
2024-07-23 00:00:00,27,21.4,33.2,0,,121,6.6,,1002.5,
2024-07-24 00:00:00,26.2,22.7,33.2,0.8,,227,7.1,,999.9,
2024-07-25 00:00:00,27.2,22.1,34.1,0,,266,8.3,,1000.2,
2024-07-26 00:00:00,27.6,22.1,34.5,0,,142,6.8,,1001.1,
2024-07-27 00:00:00,26.2,21.4,34.5,14.2,,124,7.3,,1003.5,
2024-07-28 00:00:00,23.7,20.9,33.9,10.9,,81,6.9,,1005.1,
2024-07-29 00:00:00,22.6,20,28.5,40.4,,114,5.8,,1004.2,
2024-07-30 00:00:00,21.8,20,27.5,29.7,,213,6.3,,1004.8,
2024-07-31 00:00:00,22.1,20.5,26,13.2,,260,4.2,,1006.3,
2024-08-01 00:00:00,21.5,20.2,25.3,22.1,,351,5.4,,1006.2,
2024-08-02 00:00:00,22.9,20.3,27.8,1,,107,7.6,,1005.1,
2024-08-03 00:00:00,21.8,19.1,28.5,22.6,,133,8.8,,1007.2,
2024-08-04 00:00:00,23.3,19.1,28.5,0.3,,141,10.2,,1009.2,
2024-08-05 00:00:00,23.9,20.3,28.4,0,,136,9.3,,1009.1,
2024-08-06 00:00:00,23.8,20.4,28.4,0,,140,8.4,,1008.4,
2024-08-07 00:00:00,25.1,20.7,29.4,0,,153,10.1,,1008.3,
2024-08-08 00:00:00,24.9,20.4,30.9,0,,153,11.7,,1007.8,
2024-08-09 00:00:00,25.5,21,30.9,0,,150,12.1,,1005.6,
2024-08-10 00:00:00,24.3,20.6,30.4,8.6,,94,6.7,,1005.5,
2024-08-11 00:00:00,21.7,19.9,30.4,2.8,,263,7,,1007.3,
2024-08-12 00:00:00,22.9,19.9,24.8,0.5,,252,9.7,,1007,
2024-08-13 00:00:00,23.1,20.4,26.7,1,,240,9.5,,1008.6,
2024-08-14 00:00:00,23.6,19.8,29.7,0.3,,187,7.4,,1009.4,
2024-08-15 00:00:00,24.9,19.5,31.2,0,,184,6.3,,1008.9,
2024-08-16 00:00:00,25.4,20.3,31.2,0,,127,7.2,,1008.7,
2024-08-17 00:00:00,24.3,20.2,31.2,8.1,,150,7.6,,1010,
2024-08-18 00:00:00,24,20.2,29.8,0.8,,183,5.9,,1010.4,
2024-08-19 00:00:00,23.4,21.1,29.3,0,,294,5.4,,1008.9,
2024-08-20 00:00:00,24.6,20.5,30,0,,146,5.6,,1008.8,
2024-08-21 00:00:00,23.3,20.7,30,1.5,,132,7,,1009.1,
2024-08-22 00:00:00,24.2,20.7,29.7,0.3,,136,8.3,,1010,
2024-08-23 00:00:00,22.6,19.6,28.9,0,,118,7.4,,1011.6,
2024-08-24 00:00:00,24,19.6,28.9,0,,115,6.2,,1011.2,
2024-08-25 00:00:00,22.6,19.8,28.9,3.8,,288,6.5,,1010.1,
2024-08-26 00:00:00,23.6,19.8,27.3,2.8,,107,5.8,,1009.8,
2024-08-27 00:00:00,23,20.2,28.2,8.9,,139,5.6,,1010,
2024-08-28 00:00:00,24,20.2,30.5,0,,,,,,
2024-08-29 00:00:00,24.9,20.3,30.5,0,,,,,,
2024-08-30 00:00:00,24,20.8,30.4,2.3,,,,,,
2024-08-31 00:00:00,24,21.3,30.1,0,,,,,,
2024-09-01 00:00:00,23.4,20.8,28.9,3.6,,,,,,
2024-09-02 00:00:00,23.3,20.2,27.3,0,,,,,,
2024-09-03 00:00:00,23.2,19.4,29.9,0,,,,,,
2024-09-04 00:00:00,24,19.6,29.9,0,,,,,,
2024-09-05 00:00:00,24.9,19.9,31.7,0,,179,7.5,,1007.8,
2024-09-06 00:00:00,26.1,20.2,31.7,0,,340,9.9,,1008,
2024-09-07 00:00:00,22.9,20.3,31.4,1,,280,13.8,,1008,
2024-09-08 00:00:00,21.1,19.8,26,19.3,,270,15.3,,1007.1,
2024-09-09 00:00:00,20.9,19.4,23.1,18.3,,241,9.3,,1006.3,
2024-09-10 00:00:00,20.3,19.2,22.8,9.4,,228,7.3,,1009.6,
2024-09-11 00:00:00,20.9,19.2,25.9,7.1,,239,8.2,,1012.1,
2024-09-12 00:00:00,21.8,19.4,26.1,0,,185,7.1,,1011.6,
2024-09-13 00:00:00,23.2,19.6,27.7,0,,158,5.9,,1009.7,
2024-09-14 00:00:00,23.6,20.2,29,0,,157,6.3,,1007.6,
2024-09-15 00:00:00,24.4,19.2,30.4,0,,141,6.9,,1006.6,
2024-09-16 00:00:00,24.7,20.3,30.4,0,,279,7.7,,1009.6,
2024-09-17 00:00:00,21.6,19.8,29.5,4.8,,268,9.4,,1011.5,
2024-09-18 00:00:00,23.7,20,27.1,0,,259,10.6,,1010.3,
2024-09-19 00:00:00,24.3,19,30.2,0,,249,11.4,,1009.4,
2024-09-20 00:00:00,22.8,19.8,30.2,0,,205,11.5,,1009.4,
2024-09-21 00:00:00,22.5,19.9,27,2.3,,288,13.4,,1010.8,
2024-09-22 00:00:00,21.3,20.6,27,1.3,,286,17.1,,1012.7,
2024-09-23 00:00:00,21.9,17.5,25.9,0,,52,13.9,,1014,
2024-09-24 00:00:00,22.8,17.5,28.9,0,,165,7.1,,1013.5,
2024-09-25 00:00:00,22.7,18.1,29.6,0,,157,7.6,,1013.7,
2024-09-26 00:00:00,23.1,17.9,29.6,0,,138,8.7,,1013.9,
2024-09-27 00:00:00,23.6,18.6,29.2,0,,138,10,,1012.7,
2024-09-28 00:00:00,24.6,20,29.2,0,,149,12.2,,1009.9,
2024-09-29 00:00:00,24.4,21.4,28.8,0,,141,12.4,,1008.5,
2024-09-30 00:00:00,21.5,17.1,28.1,8.9,,208,8.4,,1010,
2024-10-01 00:00:00,16.7,15.4,27.1,2.8,,241,14.7,,1016.3,
2024-10-02 00:00:00,16.9,15.2,19.3,0,,1,10.7,,1018.7,
2024-10-03 00:00:00,19.6,13.8,25.1,0,,142,8.6,,1018.1,
2024-10-04 00:00:00,20.6,15,25.5,0,,144,11.2,,1016.9,
2024-10-05 00:00:00,21.7,17.3,26.2,0,,143,10.2,,1016.6,
2024-10-06 00:00:00,21.6,16.9,26.6,0,,142,10.1,,1017.7,
2024-10-07 00:00:00,20.8,18.1,26.6,0,,135,9.8,,1019.2,
2024-10-08 00:00:00,20.7,18.1,25.1,0.3,,139,10.3,,1018.1,
2024-10-09 00:00:00,17.4,16.7,24.6,0.8,,145,11.3,,1016.4,
2024-10-10 00:00:00,18.8,16.7,20.6,0.5,,148,12.7,,1015.3,
2024-10-11 00:00:00,19.4,17,23,0,,147,14.1,,1014.7,
2024-10-12 00:00:00,20.6,17,25.3,0,,146,14,,1014.9,
2024-10-13 00:00:00,21.8,17.7,26.6,0.3,,142,11.5,,1015,
2024-10-14 00:00:00,22.2,18.2,27.2,0,,135,9.6,,1014.8,
2024-10-15 00:00:00,20.7,17.7,27.2,4.8,,113,7.6,,1015.4,
2024-10-16 00:00:00,19.2,17.8,26.7,11.2,,137,10.8,,1015.5,
2024-10-17 00:00:00,21.5,17.2,27.6,0,,157,11,,1013.7,
2024-10-18 00:00:00,22.3,17,28.8,0,,127,8.8,,1013.7,
2024-10-19 00:00:00,22,17.1,28.8,0,,137,9.7,,1016.2,
2024-10-20 00:00:00,21.4,17.8,27,0,,145,12.1,,1018,
2024-10-21 00:00:00,21.6,18.1,27.4,0,,147,11.9,,1017.3,
2024-10-22 00:00:00,20.9,17,27.9,1.5,,101,12,,1019.2,
2024-10-23 00:00:00,19.6,15.5,27.9,0,,63,9.5,,1019.9,
