date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-05-16 00:00:00,25.3,23,29.3,1.8,,79,11.2,,1014.1,
2024-05-17 00:00:00,26.8,22.8,31.5,0,,144,11.5,,1011,
2024-05-18 00:00:00,26.5,24.3,29,0,,159,15.1,,1006.3,
2024-05-19 00:00:00,24.9,23,28.7,11.9,,65,12,,1004.2,
2024-05-20 00:00:00,26.4,22.5,31.5,1,,36,13.5,,1007.1,
2024-05-21 00:00:00,26.7,22.8,32,0,,38,9.1,,1009.5,
2024-05-22 00:00:00,26.9,22.4,31.8,0,,39,9.5,,1010.1,
2024-05-23 00:00:00,27.4,23.4,33.1,0,,93,5.9,,1009.1,
2024-05-24 00:00:00,28.4,24.2,33.5,0,,193,8.4,,1008.9,
2024-05-25 00:00:00,26.2,24,29.3,2.4,,178,13.5,,1008.6,
2024-05-26 00:00:00,26.8,24.7,30.3,10.4,,184,18.2,,1006,
2024-05-27 00:00:00,29.3,25.6,35,0,,198,12.8,,1002.3,
2024-05-28 00:00:00,28.8,25.8,33.6,1,,38,9.5,,1002.8,
2024-05-29 00:00:00,30.1,26.5,35.2,0,,140,11.6,,1002.3,
2024-05-30 00:00:00,25.7,22.3,32.8,57.9,,88,15.1,,1004.5,
2024-05-31 00:00:00,25.4,21.5,29.7,43.4,,34,16.4,,1007.5,
2024-06-01 00:00:00,25.9,22.6,29.6,2.8,,66,9.6,,1008.8,
2024-06-02 00:00:00,27.3,23.4,30.9,2.1,,163,7.9,,1007.7,
2024-06-03 00:00:00,28.2,24.8,32,5.1,,126,7.3,,1005.1,
2024-06-04 00:00:00,25.8,24,27.9,16.4,,33,10.1,,1006.3,
2024-06-05 00:00:00,24.3,22.7,25.9,1.5,,34,14.8,,1008.9,
2024-06-06 00:00:00,25.9,23.4,28.6,0,,52,11.8,,1009.1,
2024-06-07 00:00:00,26.7,24.6,29.3,26.9,,140,6.5,,1006.5,
2024-06-08 00:00:00,26,24,27.5,49,,134,7.8,,1004.6,
2024-06-09 00:00:00,24.4,23.8,25.9,20.3,,138,10.4,,1005.5,
