date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-05-16 00:00:00,25.4,24.8,27.5,137.9,,23,15.8,,1012.4,
2024-05-17 00:00:00,27.6,24.5,29.8,0,,86,12.6,,1009.6,
2024-05-18 00:00:00,29.1,26.5,30.5,0,,171,18.8,,1004.9,
2024-05-19 00:00:00,28.5,25.1,34.7,8.9,,265,14.1,,1001.9,
2024-05-20 00:00:00,28.4,25.7,31.7,0,,4,13.7,,1005.9,
2024-05-21 00:00:00,28.8,26.3,32.6,0,,343,6.5,,1008.1,
2024-05-22 00:00:00,28.2,25.3,31.3,11.9,,339,9.5,,1008.9,
2024-05-23 00:00:00,28,26.3,31.5,33,,8,8.9,,1008.1,
2024-05-24 00:00:00,29.1,26.3,31.8,0.3,,191,11,,1007.9,
2024-05-25 00:00:00,28.1,25.6,30.7,8.2,,178,18.7,,1007.3,
2024-05-26 00:00:00,29.4,25.1,33.5,0.6,,202,17.4,,1005,
2024-05-27 00:00:00,32.4,28,37.4,0,,216,17.8,,1001.7,
2024-05-28 00:00:00,32.3,29.7,35.8,0,,245,12.5,,1000.8,
2024-05-29 00:00:00,32.2,29.5,36.8,0,,218,12.3,,1000.4,
2024-05-30 00:00:00,29.9,25.9,33.4,0,,9,15.2,,1001.8,
2024-05-31 00:00:00,24.3,23.9,25.4,93,,335,17.8,,1006.2,
2024-06-01 00:00:00,27.5,24.2,30.5,0.6,,273,9.3,,1007.7,
2024-06-02 00:00:00,29.8,25.6,34.4,0.1,,202,13.6,,1006.1,
2024-06-03 00:00:00,30.7,26.9,35.3,0.3,,242,13.5,,1003.2,
2024-06-04 00:00:00,29.1,26.6,32.6,15.9,,2,9,,1004.3,
2024-06-05 00:00:00,28.4,24.8,32.3,4.1,,357,12.8,,1006.8,
2024-06-06 00:00:00,26.3,24.3,27.5,49,,339,11.1,,1007.9,
2024-06-07 00:00:00,28.8,26.5,31.7,5.8,,228,7.5,,1005,
2024-06-08 00:00:00,29.2,26.5,32,2.8,,224,8.3,,1002.9,
2024-06-09 00:00:00,28.4,26,32,0,,283,8.4,,1003.4,
2024-06-10 00:00:00,29.4,26,32.4,0,,254,10.6,,1005.1,
2024-06-11 00:00:00,30.6,27.1,34.1,0,,190,15.7,,1004.7,
2024-06-12 00:00:00,32.5,27.9,37,0,,212,18.5,,1003.9,
2024-06-13 00:00:00,33.1,29,37.1,0,,216,20.1,,1001.5,
2024-06-14 00:00:00,33,29.4,37,0,,213,19.3,,1000.1,
2024-06-15 00:00:00,32.8,28.7,37.9,0,,191,15.8,,1000.9,
2024-06-16 00:00:00,32.6,28.5,37.8,0,,195,16.3,,1002.1,
2024-06-17 00:00:00,33,29.2,38.5,0,,198,20.8,,1001.7,
2024-06-18 00:00:00,32.4,28.9,36.4,0,,197,18.5,,1001,
2024-06-19 00:00:00,32.7,29.2,38.3,0,,196,19.2,,1000.3,
2024-06-20 00:00:00,32.6,29.5,36.5,0,,183,19.1,,1000.5,
2024-06-21 00:00:00,32.4,28.8,35.5,0,,168,19.9,,1001.2,
2024-06-22 00:00:00,31,28.7,34.7,0,,149,19.2,,1002.8,
2024-06-23 00:00:00,28.7,26.5,32.6,19.1,,179,9.7,,1003.1,
2024-06-24 00:00:00,27.9,26.5,30,77,,350,7.1,,1002.9,
2024-06-25 00:00:00,28.8,26.2,30.3,3.8,,152,11.6,,1004.5,
2024-06-26 00:00:00,27.1,25.9,28.5,71.1,,118,12.1,,1007.2,
2024-06-27 00:00:00,28.1,26.2,30.4,19.6,,137,12.8,,1008.4,
2024-06-28 00:00:00,29.7,27,31.8,9.1,,172,19.4,,1005.6,
2024-06-29 00:00:00,31.9,27.4,36.5,0,,193,21.3,,1003.4,
2024-06-30 00:00:00,31.7,28.9,35,0,,211,24.2,,1002.4,
2024-07-01 00:00:00,30.9,28.6,34.2,0,,210,24.7,,1001,
2024-07-02 00:00:00,30.6,27.2,34.8,2.2,,201,18.5,,1001.9,
2024-07-03 00:00:00,29,26,32.4,0.9,,180,14.8,,1006.3,
2024-07-04 00:00:00,28.5,25.4,31.5,1.3,,163,16.5,,1008.8,
2024-07-05 00:00:00,28.5,25,32.2,1.4,,190,11.6,,1005.9,
2024-07-06 00:00:00,29.1,25.5,32.7,0.9,,165,14.5,,1005.2,
2024-07-07 00:00:00,29.1,25.8,32.2,0.3,,180,19,,1006.2,
2024-07-08 00:00:00,29.8,26.8,32.9,0.8,,173,18.5,,1005,
2024-07-09 00:00:00,30.6,27.4,35.1,0,,177,20.5,,1004.4,
2024-07-10 00:00:00,30.7,27,35.6,0.2,,201,17.8,,1004.6,
2024-07-11 00:00:00,30.3,26.2,35.4,7.3,,196,18,,1003.1,
2024-07-12 00:00:00,30,25.5,34.7,1,,200,12.7,,1001.1,
2024-07-13 00:00:00,30.2,26.8,34.2,10,,171,13.1,,1000.6,
