date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-05-16 00:00:00,30.4,28,34.3,0,,32,10.4,,1010.3,
2024-05-17 00:00:00,30.4,27.1,33.6,1.5,,91,7.8,,1009.1,
2024-05-18 00:00:00,30.6,28.2,33.6,0,,178,9.6,,1006.8,
2024-05-19 00:00:00,31.4,28.5,34.9,0,,190,12.3,,1004.6,
2024-05-20 00:00:00,29.6,27,34.2,0.8,,191,13.2,,1004.9,
2024-05-21 00:00:00,29.6,26.9,33.2,2.8,,338,8.5,,1007.6,
2024-05-22 00:00:00,28.6,27.2,32.5,5.1,,336,5.8,,1008.2,
2024-05-23 00:00:00,29.4,27.1,32.2,0,,238,8.2,,1008,
2024-05-24 00:00:00,30.7,27.2,33.6,0,,157,8.5,,1008.3,
2024-05-25 00:00:00,31.2,28.4,33.7,0,,161,8.6,,1008.6,
2024-05-26 00:00:00,31.2,27.6,33.7,0,,179,13.6,,1008.2,
2024-05-27 00:00:00,32.1,29,35.6,0,,194,13,,1005.4,
2024-05-28 00:00:00,34.1,30,39.3,0,,251,11.6,,1004.1,
2024-05-29 00:00:00,32.8,29.3,35.6,0,,261,15.2,,1003.9,
2024-05-30 00:00:00,31.6,26.8,34,0,,236,14.1,,1004.5,
2024-05-31 00:00:00,31.2,29.6,35.3,0,,229,12.4,,1006,
2024-06-01 00:00:00,30.9,29,35.1,0.2,,214,12.6,,1008.8,
2024-06-02 00:00:00,31.6,29.1,35.9,0,,209,12.9,,1009,
2024-06-03 00:00:00,32.1,29,35.9,0.5,,257,9.4,,1007.1,
2024-06-04 00:00:00,31.1,28.1,36.7,0.4,,190,14.2,,1006.7,
2024-06-05 00:00:00,30.1,26.4,34.2,0,,198,12.1,,1007.5,
2024-06-06 00:00:00,30.8,26.2,34.8,21.8,,237,10.1,,1008.4,
2024-06-07 00:00:00,29.3,26,33.7,46.2,,217,9.6,,1006.7,
2024-06-08 00:00:00,30.4,25.8,33.8,0.5,,201,11.7,,1005.6,
2024-06-09 00:00:00,30.4,25.5,34,0.5,,223,12.3,,1005.6,
2024-06-10 00:00:00,31.2,27.5,36,3.3,,245,12.4,,1007.1,
2024-06-11 00:00:00,31.1,29,34.3,0,,199,13.2,,1008.1,
2024-06-12 00:00:00,32,29.2,35.3,0,,225,13.4,,1008,
2024-06-13 00:00:00,32.3,29.3,37.3,0,,227,13.9,,1006.2,
2024-06-14 00:00:00,31.2,27.8,34.5,0,,187,15.4,,1004.4,
2024-06-15 00:00:00,31.2,27.6,34.5,0,,168,14.5,,1004.4,
2024-06-16 00:00:00,30.4,27.1,34,0,,170,15.1,,1005.5,
2024-06-17 00:00:00,30.6,28.7,34,0,,188,15.2,,1005.7,
2024-06-18 00:00:00,31.4,28.7,36,0,,195,14.7,,1004.8,
2024-06-19 00:00:00,31.4,28.8,37,10.9,,233,12.9,,1004.2,
2024-06-20 00:00:00,30.1,27,32.5,0,,278,10.2,,1003.7,
2024-06-21 00:00:00,28.4,26.2,32.2,3.8,,277,11.1,,1003.5,
2024-06-22 00:00:00,28.4,27.1,32.4,25.1,,262,10.9,,1003.5,
2024-06-23 00:00:00,29.2,25.9,33.3,3.3,,240,12.1,,1004.6,
2024-06-24 00:00:00,29.8,27,33.2,0,,286,10.4,,1005.4,
2024-06-25 00:00:00,30.1,27.9,33.4,0,,192,12.3,,1005.9,
2024-06-26 00:00:00,29.6,25.8,32.1,0,,153,8.7,,1007.7,
2024-06-27 00:00:00,29.5,27.4,32.2,0,,138,10.5,,1009.1,
2024-06-28 00:00:00,29.6,27.5,32.3,0,,158,15.5,,1008.6,
2024-06-29 00:00:00,29.6,27.6,32.2,0,,160,15.9,,1008.2,
2024-06-30 00:00:00,30.3,28,34.3,0,,203,12.9,,1008.1,
2024-07-01 00:00:00,30.8,28.5,35.4,0.5,,231,11.9,,1006.7,
2024-07-02 00:00:00,30.1,25.4,34,0.4,,169,14.8,,1005.9,
2024-07-03 00:00:00,29.7,25.5,33.1,3.1,,138,12.2,,1008.6,
2024-07-04 00:00:00,29.4,25.2,32,9.7,,160,9.3,,1009.7,
2024-07-05 00:00:00,29.7,27.5,33.4,0.3,,179,9.2,,1007.5,
2024-07-06 00:00:00,30.1,27.5,32.7,3.3,,130,8.3,,1006.8,
2024-07-07 00:00:00,29.4,27.2,32,1.1,,143,9.9,,1007.6,
2024-07-08 00:00:00,29.6,27.5,32.5,7.5,,149,9,,1007,
2024-07-09 00:00:00,29.2,27.7,33,1,,260,8.9,,1007.6,
2024-07-10 00:00:00,30.6,27,34.4,0,,267,11.2,,1008,
2024-07-11 00:00:00,31.3,27.5,35.7,0,,270,12.1,,1006.3,
2024-07-12 00:00:00,32.6,28.7,35.2,7.5,,278,12,,1003.9,
2024-07-13 00:00:00,29.5,25.2,34.2,4.6,,289,12.8,,1003,
2024-07-14 00:00:00,27.7,25.2,31.4,25.1,,297,9.4,,1002.8,
2024-07-15 00:00:00,30.4,25.8,32.7,2.8,,259,11.9,,1002.6,
2024-07-16 00:00:00,29.7,28.2,32.2,2.3,,213,10.8,,1003.7,
2024-07-17 00:00:00,29.9,25.3,33.1,0,,216,10.9,,1004.4,
2024-07-18 00:00:00,29.7,25.4,33.8,4.8,,255,9.4,,1005.1,
2024-07-19 00:00:00,30.9,27,34,4.1,,279,10.4,,1004.9,
2024-07-20 00:00:00,30.1,28.4,33,0,,307,11.2,,1005.2,
2024-07-21 00:00:00,29.8,26.1,32,6.1,,282,12.8,,1004.2,
2024-07-22 00:00:00,31.3,29,34.2,0,,274,13.6,,1004.3,
2024-07-23 00:00:00,30.5,28.2,33.5,2.8,,255,14.7,,1003.7,
2024-07-24 00:00:00,31.2,28.5,33,0,,257,16.4,,1001.4,
2024-07-25 00:00:00,30.9,29,32.7,0,,252,18.3,,1000.2,
2024-07-26 00:00:00,31.4,29.2,33.5,0,,254,14.5,,1001.7,
2024-07-27 00:00:00,32,30,34.5,0,,259,13.1,,1004.4,
2024-07-28 00:00:00,31,27.2,34,0,,276,11.3,,1005.2,
2024-07-29 00:00:00,31.2,27,34,0,,264,12.5,,1005.4,
2024-07-30 00:00:00,31.1,28.4,35.2,0.4,,256,12.1,,1007.1,
2024-07-31 00:00:00,31.2,28.7,36.2,0.3,,228,12.8,,1008.5,
2024-08-01 00:00:00,31.5,28,35.6,0.2,,219,13.9,,1008.7,
2024-08-02 00:00:00,31.8,28.6,35.8,7.8,,248,11.9,,1008.1,
2024-08-03 00:00:00,30.9,27.6,34.9,1,,206,9.8,,1008.5,
2024-08-04 00:00:00,30.4,27.1,34.3,1.5,,138,10,,1008.6,
2024-08-05 00:00:00,30.5,27.4,34.8,1.3,,183,9.9,,1007.6,
2024-08-06 00:00:00,30.3,27.6,34.1,0,,152,11.1,,1007,
2024-08-07 00:00:00,31.1,27.5,34.9,3.8,,176,10.1,,1007.6,
2024-08-08 00:00:00,31.4,28.5,35.5,0.7,,206,12.9,,1007.9,
2024-08-09 00:00:00,31.8,29,36.5,1.5,,205,11.7,,1006.5,
2024-08-10 00:00:00,31.8,28.5,37.2,0.4,,265,13.1,,1005.3,
2024-08-11 00:00:00,31.9,28.3,38,1.3,,241,17.6,,1003.6,
2024-08-12 00:00:00,33.2,30,38.5,0.4,,260,14,,1004.4,
2024-08-13 00:00:00,31.6,27.4,36.6,0.2,,220,12.3,,1006.1,
2024-08-14 00:00:00,31,29,36.2,2.7,,166,12.2,,1006.5,
2024-08-15 00:00:00,30.4,27.1,36.4,2.5,,181,11.7,,1006,
2024-08-16 00:00:00,29.9,27.5,35.1,2.8,,160,12.7,,1006,
2024-08-17 00:00:00,30.3,27.5,35.9,0,,170,14,,1007.7,
2024-08-18 00:00:00,30.4,28.2,35.3,0.2,,155,15.9,,1007.9,
2024-08-19 00:00:00,30.4,28.2,36.4,0.4,,170,14.2,,1006.9,
2024-08-20 00:00:00,29.9,26.5,36.1,0.9,,179,13.1,,1008.1,
2024-08-21 00:00:00,29.9,28,35.5,0.3,,163,14.6,,1009.4,
2024-08-22 00:00:00,30,27.6,34.4,0,,142,15.7,,1009.7,
