date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-05-16 00:00:00,29.1,26.7,31.7,0.5,,97,15.5,,1011.5,
2024-05-17 00:00:00,28.1,25.9,31,9.1,,114,14.1,,1009.7,
2024-05-18 00:00:00,29.5,26,32.4,0,,152,20.7,,1005.6,
2024-05-19 00:00:00,32.5,27.8,37.2,0,,201,19.4,,1002.6,
2024-05-20 00:00:00,27.4,27,33.6,84.3,,319,20.8,,1005.4,
2024-05-21 00:00:00,27.8,25.6,31,0,,320,16.4,,1007.9,
2024-05-22 00:00:00,27.7,26.3,31,0,,328,13.4,,1008.4,
2024-05-23 00:00:00,26.4,25.5,30.3,15.5,,293,10.8,,1008,
2024-05-24 00:00:00,28.7,24.7,31.8,0,,169,13.4,,1008.2,
2024-05-25 00:00:00,28.8,26.5,32.5,3.4,,154,15.9,,1007.7,
2024-05-26 00:00:00,30.5,25.9,35.6,0.1,,202,16.7,,1006.4,
2024-05-27 00:00:00,33.6,28.8,37,0,,198,20.2,,1003.7,
2024-05-28 00:00:00,32.7,29.3,36.1,0,,155,16.2,,1002.4,
2024-05-29 00:00:00,33.9,30.4,37.5,0,,194,21,,1001.9,
2024-05-30 00:00:00,33.3,29.3,37.1,0,,219,20.8,,1001.7,
2024-05-31 00:00:00,27.9,26.2,30.8,0.8,,293,24.7,,1005.6,
2024-06-01 00:00:00,28.8,25.6,32.6,14.5,,175,15.4,,1008.1,
2024-06-02 00:00:00,30.2,27.8,33.8,0,,196,20.8,,1007.6,
2024-06-03 00:00:00,31.1,28.7,33.8,0.1,,199,18.3,,1005.2,
2024-06-04 00:00:00,31.3,28.4,35.2,0,,200,16.7,,1005,
2024-06-05 00:00:00,31.5,28,36.2,0,,200,15.7,,1006.4,
2024-06-06 00:00:00,30.3,28.3,33.2,0,,305,13.4,,1007.6,
2024-06-07 00:00:00,31.8,27,36.1,0.3,,207,16.9,,1005.6,
2024-06-08 00:00:00,31.8,28.3,35.5,0.5,,204,20.6,,1003.9,
2024-06-09 00:00:00,31,28.3,34.2,0,,190,20.2,,1004.2,
2024-06-10 00:00:00,31.3,27.4,36.1,0,,172,18,,1005.7,
2024-06-11 00:00:00,31.6,28.4,35.4,0,,211,21.6,,1006.3,
2024-06-12 00:00:00,32.5,30,36.4,0,,214,23.1,,1006.2,
2024-06-13 00:00:00,34.1,29.4,38.2,0,,201,21.3,,1003.9,
2024-06-14 00:00:00,34.7,31.3,39,0,,199,21.5,,1002,
2024-06-15 00:00:00,34.3,31.3,38.8,0,,196,20,,1002.4,
2024-06-16 00:00:00,34.1,29.9,38.5,0,,191,20.1,,1003.7,
2024-06-17 00:00:00,34.3,30.5,38.5,0,,206,22,,1003.7,
2024-06-18 00:00:00,33.4,31.2,37.4,0,,213,22.9,,1003.1,
2024-06-19 00:00:00,33.7,30.8,38.3,0,,207,20.5,,1002.3,
2024-06-20 00:00:00,33.6,30.3,39.3,0,,184,20.9,,1002.1,
2024-06-21 00:00:00,32.6,30.1,36.5,0,,166,22.8,,1002.3,
2024-06-22 00:00:00,31.1,28.1,34.5,0,,158,18.4,,1002.9,
2024-06-23 00:00:00,28.6,26.6,31.2,6.4,,219,10.9,,1003.2,
2024-06-24 00:00:00,29.8,26.7,33.4,1.5,,203,22.3,,1003.3,
2024-06-25 00:00:00,28.7,27.4,32.7,0,,171,21.7,,1004.8,
2024-06-26 00:00:00,28.3,25.4,30.5,23.6,,165,15.2,,1006.9,
2024-06-27 00:00:00,29.2,26.3,32.5,0,,155,11.8,,1008.2,
2024-06-28 00:00:00,30.1,26.2,33.4,7.9,,172,20.5,,1006.7,
2024-06-29 00:00:00,32.3,27.6,36.3,0,,205,23,,1005.8,
2024-06-30 00:00:00,32.7,30.3,36,0,,209,27.6,,1005.4,
2024-07-01 00:00:00,30.6,28.8,33.8,0,,202,27.2,,1004.3,
2024-07-02 00:00:00,31.2,27.2,35.4,0,,184,20.8,,1003.5,
2024-07-03 00:00:00,29.8,27.9,32.9,4,,158,19.7,,1007,
2024-07-04 00:00:00,28.9,26.6,32.5,9.8,,167,16.6,,1008.7,
2024-07-05 00:00:00,29.3,26.3,33.4,0.2,,183,18.3,,1006.3,
2024-07-06 00:00:00,29.4,26.5,32.8,1.5,,162,19.8,,1005.6,
2024-07-07 00:00:00,29.3,27,32.5,3.5,,157,16.5,,1006.6,
2024-07-08 00:00:00,29.1,26.1,32,5.5,,169,15.1,,1005.8,
2024-07-09 00:00:00,29.8,26.4,34.3,0,,198,19.6,,1005.9,
2024-07-10 00:00:00,30.4,27.4,36.3,6.6,,190,21.1,,1006.2,
2024-07-11 00:00:00,30.6,27.6,34.5,0,,202,21.5,,1004.6,
2024-07-12 00:00:00,30.6,27.6,34.4,0,,211,20.7,,1002.3,
2024-07-13 00:00:00,30.4,27.7,34.3,8,,174,21.6,,1001.4,
2024-07-14 00:00:00,28.7,26.7,31.8,3.1,,145,14.4,,1003.5,
2024-07-15 00:00:00,26.9,25.8,28,32.9,,0,24.6,,1003.2,
2024-07-16 00:00:00,27.1,25.5,29.1,7.2,,90,15.3,,1004.1,
2024-07-17 00:00:00,26.6,25.2,28.4,20.3,,302,10.3,,1004.3,
2024-07-18 00:00:00,26.9,25.8,28.8,8,,180,12.4,,1004,
2024-07-19 00:00:00,28.3,26.2,31.8,1.7,,184,19,,1003.9,
2024-07-20 00:00:00,28.6,26.2,31.3,1.7,,159,15.2,,1004.9,
2024-07-21 00:00:00,28.2,25.9,31.1,7.9,,305,15.3,,1004.5,
2024-07-22 00:00:00,28.6,26,31.6,0.6,,260,17.3,,1002.9,
2024-07-23 00:00:00,29.5,27.7,31.8,0.1,,230,28,,1000,
2024-07-24 00:00:00,29.3,27.6,31.8,0.3,,189,23,,998.2,
2024-07-25 00:00:00,29.2,27.8,31.4,1.1,,197,23.3,,997.2,
2024-07-26 00:00:00,29.5,27,32.6,1.2,,235,34.4,,998,
2024-07-27 00:00:00,30.7,28.7,34.4,0,,231,30.6,,1001,
2024-07-28 00:00:00,30.1,28.1,33,0.2,,220,24.3,,1002.2,
2024-07-29 00:00:00,28.9,27.9,31.2,0.5,,208,22.5,,1002.7,
2024-07-30 00:00:00,28.9,27.8,30.8,1.3,,196,22.2,,1003.9,
2024-07-31 00:00:00,28.8,27.4,32.1,0.2,,195,24,,1005.8,
2024-08-01 00:00:00,28.8,27.2,30.6,0.2,,194,25.6,,1006.5,
2024-08-02 00:00:00,29.2,26.9,31.4,0,,189,24.9,,1006.2,
2024-08-03 00:00:00,30.1,27.1,34,0.2,,205,18.2,,1007.3,
2024-08-04 00:00:00,30,26.3,34.9,0,,191,20.4,,1007.5,
2024-08-05 00:00:00,29.8,26.3,34.9,2.5,,184,16.9,,1006.5,
2024-08-06 00:00:00,30.5,26.5,34.8,0.4,,184,16.3,,1005.9,
2024-08-07 00:00:00,30.6,26.8,36.1,2.7,,199,16.2,,1006.2,
2024-08-08 00:00:00,31.2,27.4,35.8,0.7,,205,18.6,,1006.5,
2024-08-09 00:00:00,32.3,27.7,36.9,0,,205,20.9,,1004.7,
2024-08-10 00:00:00,32.4,29.4,36.1,0.2,,212,24.2,,1002.9,
2024-08-11 00:00:00,31.6,29,35.9,2.3,,229,21.3,,1001.7,
2024-08-12 00:00:00,31.3,28.6,35.2,0.5,,212,20.5,,1002.5,
2024-08-13 00:00:00,31.7,28.6,35.9,1.1,,214,20,,1004.6,
2024-08-14 00:00:00,31.5,28.6,35.4,0.7,,188,17.2,,1005.5,
2024-08-15 00:00:00,31.1,28.2,36.2,2,,214,14.3,,1004.8,
2024-08-16 00:00:00,30.2,27.9,34.3,3.3,,222,13.1,,1004.7,
2024-08-17 00:00:00,31,27.5,34.7,0.3,,230,16,,1006.2,
2024-08-18 00:00:00,31.9,27.6,36,0.2,,218,16.9,,1006.3,
2024-08-19 00:00:00,32.3,29.5,35.9,0,,215,19,,1005.1,
2024-08-20 00:00:00,31.8,28.8,35.5,0.2,,209,22.1,,1006.2,
2024-08-21 00:00:00,31.8,28.4,35.9,0.8,,197,23.5,,1007.2,
2024-08-22 00:00:00,31.4,27.9,35.4,2.2,,151,20.1,,1007.8,
2024-08-23 00:00:00,30.3,27.8,37.1,3,,198,15.5,,1008.9,
2024-08-24 00:00:00,30.7,25.8,34.5,0,,155,15.5,,1008.3,
2024-08-25 00:00:00,30.1,26.5,33.3,0,,169,11,,1007.4,
2024-08-26 00:00:00,30.1,26.1,34.7,0,,163,15.1,,1006.4,
2024-08-27 00:00:00,31.5,26.2,36.8,3,,173,16,,1006.3,
2024-08-28 00:00:00,32.2,27.6,38,0,,,,,,
2024-08-29 00:00:00,33,29.2,38.2,0,,,,,,
2024-08-30 00:00:00,30.1,,37.5,5.1,,,,,,
2024-08-31 00:00:00,29.1,,33,0,,,,,,
2024-09-01 00:00:00,30.2,26.2,33.6,0,,,,,,
2024-09-02 00:00:00,30.3,,34.1,0,,,,,,
2024-09-03 00:00:00,29.7,25.8,34.1,30,,,,,,
2024-09-04 00:00:00,30.3,25.8,34.8,0,,,,,,
2024-09-05 00:00:00,31.6,27.5,36.3,0,,285,17.4,,1001.7,
2024-09-06 00:00:00,27.6,27.2,28.8,18,,266,26.9,,1000,
2024-09-07 00:00:00,29.3,26.9,31,1.5,,227,31.2,,999.4,
2024-09-08 00:00:00,31.4,28.3,33.8,0.3,,205,29,,1002.8,
2024-09-09 00:00:00,30.2,28.5,33.7,0,,192,23.7,,1004.3,
2024-09-10 00:00:00,29,25.8,32.1,1.3,,176,14.3,,1005.3,
2024-09-11 00:00:00,26.8,25.2,28.6,17.8,,211,8.1,,1007.3,
2024-09-12 00:00:00,28.6,25.7,32.6,1,,316,13.8,,1007,
2024-09-13 00:00:00,27.5,25.4,30.1,15.4,,312,11.4,,1005.1,
2024-09-14 00:00:00,28.8,25.8,33.2,0,,291,15.2,,1003.3,
2024-09-15 00:00:00,29.2,25.5,32.9,0,,334,10.3,,1002.8,
2024-09-16 00:00:00,27.6,25.6,29.7,4.8,,331,15.2,,1004,
2024-09-17 00:00:00,27.4,25.4,29,4.5,,343,23.5,,1004,
2024-09-18 00:00:00,25.8,24.6,28.4,30.9,,325,27.7,,1002.5,
2024-09-19 00:00:00,26,24.6,27.1,121.1,,357,43.8,,998.9,
2024-09-20 00:00:00,27.1,25.7,29.8,32.9,,144,20.4,,1000.4,
2024-09-21 00:00:00,27.2,25.2,29.8,7.6,,303,16.8,,1004,
2024-09-22 00:00:00,26.7,24.9,31,79,,307,14,,1005.3,
2024-09-23 00:00:00,24.4,23.3,27,30,,295,25.6,,1007.9,
2024-09-24 00:00:00,24.9,23.5,26.5,15.2,,302,19.9,,1010.7,
2024-09-25 00:00:00,26.2,24,29,0,,269,9.1,,1011.2,
2024-09-26 00:00:00,27,24.1,29.2,0,,166,11.1,,1011.3,
2024-09-27 00:00:00,27.6,25.2,29.5,0,,168,14,,1010.6,
2024-09-28 00:00:00,28.1,25.7,30.2,0.5,,159,14.3,,1008.4,
2024-09-29 00:00:00,29,25.9,32.4,1,,177,17.6,,1007.1,
2024-09-30 00:00:00,28.8,26.3,32.8,5.4,,179,17.9,,1006.1,
2024-10-01 00:00:00,27.1,24.8,30,10.7,,309,17.6,,1008.2,
2024-10-02 00:00:00,24.1,21.4,27.2,33,,314,35.9,,1013,
2024-10-03 00:00:00,24.9,22.9,26.8,1.8,,329,28.1,,1014.4,
2024-10-04 00:00:00,25.8,23.3,28.3,0.1,,331,24.4,,1014,
2024-10-05 00:00:00,26.1,23.4,28.3,0,,341,22.7,,1013.2,
2024-10-06 00:00:00,26.3,23.1,28.8,0.8,,334,24.9,,1013.6,
2024-10-07 00:00:00,25.3,24.2,26.6,69,,10,28.2,,1014.2,
