date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-05-16 00:00:00,29.6,26.9,34.5,6.9,,37,7.9,,1010.8,
2024-05-17 00:00:00,27.8,25,31.9,157.2,,315,6.1,,1009.5,
2024-05-18 00:00:00,29.1,26,32.4,0,,174,5.7,,1006.7,
2024-05-19 00:00:00,31.1,26.4,37.2,0,,182,7.2,,1003.7,
2024-05-20 00:00:00,28.7,26,34.6,4.3,,259,5.8,,1004.7,
2024-05-21 00:00:00,28.3,26,33.2,0.3,,313,7.7,,1007.2,
2024-05-22 00:00:00,27.7,25.9,31.3,11.9,,341,5.6,,1008.3,
2024-05-23 00:00:00,27.7,26,32.5,19.6,,288,5,,1008.1,
2024-05-24 00:00:00,29,25.9,32.6,0,,156,4.5,,1008.6,
2024-05-25 00:00:00,29.2,26,33,0.4,,188,7.8,,1008.3,
2024-05-26 00:00:00,30.4,25.9,35,0,,164,5.6,,1007.7,
2024-05-27 00:00:00,32,27.5,37.5,0,,204,6.5,,1004.8,
2024-05-28 00:00:00,32.6,29,36.4,0,,232,4.6,,1003.5,
2024-05-29 00:00:00,32.5,29.5,37.7,0,,239,4.6,,1002.7,
2024-05-30 00:00:00,31.2,30,35.2,0,,190,4.1,,1002.6,
2024-05-31 00:00:00,28.6,27,30,5.3,,247,3,,1005.1,
2024-06-01 00:00:00,29.4,27,33.2,1.5,,8,4.2,,1008.5,
2024-06-02 00:00:00,30.9,27,35.6,0,,200,6,,1008.5,
2024-06-03 00:00:00,31.8,28,36,10.4,,183,4.9,,1006.5,
2024-06-04 00:00:00,32.1,27.6,37.2,0.2,,188,6.5,,1005.8,
2024-06-05 00:00:00,31,28,37.2,0,,221,7.2,,1007,
2024-06-06 00:00:00,31.3,27,36.3,0,,233,6.5,,1008.1,
2024-06-07 00:00:00,29.6,25,36.7,3.3,,198,7.6,,1006.3,
2024-06-08 00:00:00,30.2,26,34.8,0,,184,6.3,,1004.9,
2024-06-09 00:00:00,30.3,27,36.5,0,,222,7.2,,1004.8,
2024-06-10 00:00:00,29.9,26.5,36.7,5.1,,228,6.4,,1006.4,
2024-06-11 00:00:00,31.5,27.4,36.7,0,,217,6.5,,1007.4,
2024-06-12 00:00:00,32.2,27.8,37.2,0,,203,7.1,,1007.3,
2024-06-13 00:00:00,32.5,28,38,0,,213,5.1,,1005.5,
2024-06-14 00:00:00,32.6,28.3,38.3,0,,179,6.8,,1003.8,
2024-06-15 00:00:00,31.2,27,37.5,0,,178,7.4,,1003.5,
2024-06-16 00:00:00,31.3,26.6,38,0,,173,7,,1004.9,
2024-06-17 00:00:00,32.2,27.5,38.2,0,,190,6,,1005.1,
2024-06-18 00:00:00,31.5,28,37.3,1,,216,5.1,,1004.4,
2024-06-19 00:00:00,30.4,25,37.7,0.3,,181,5.5,,1004,
2024-06-20 00:00:00,30.7,25.5,36.6,5.1,,169,7.1,,1003.4,
2024-06-21 00:00:00,30.9,26.6,34.9,0,,153,8.5,,1003.3,
2024-06-22 00:00:00,30.2,27,35.7,0,,160,7.5,,1003,
2024-06-23 00:00:00,27.7,26,32.4,9.9,,257,5.5,,1003.5,
2024-06-24 00:00:00,30.2,26.5,34.2,0,,199,4.5,,1004.1,
2024-06-25 00:00:00,30.6,27.6,35.2,0,,179,6.5,,1005.2,
2024-06-26 00:00:00,28.2,27,33.2,1.5,,143,4.7,,1007.4,
2024-06-27 00:00:00,29.2,26,33,0,,167,7.5,,1008.6,
2024-06-28 00:00:00,28.9,26,33.4,0,,177,9.2,,1007.9,
2024-06-29 00:00:00,30.7,26,37.6,0.3,,188,7.6,,1007.1,
2024-06-30 00:00:00,33,27.6,37.7,0,,221,9.1,,1006.9,
2024-07-01 00:00:00,32.4,30,37.5,0.5,,228,8.8,,1005.5,
2024-07-02 00:00:00,30.7,27,36,0.2,,170,7.3,,1005,
2024-07-03 00:00:00,29.2,26,33,1.4,,163,8,,1007.9,
2024-07-04 00:00:00,28.7,26,33,2.7,,171,7.1,,1009.3,
2024-07-05 00:00:00,29.2,26,34.2,0.2,,185,7.2,,1007.1,
2024-07-06 00:00:00,29.3,25,34,0.6,,157,8.3,,1006.6,
2024-07-07 00:00:00,29.7,25.4,34,2.9,,156,8.6,,1007.2,
2024-07-08 00:00:00,29.3,27,33,3.2,,159,8.3,,1007,
2024-07-09 00:00:00,29.3,26,35,1.5,,181,7.4,,1007.1,
2024-07-10 00:00:00,30.3,26.4,36,3.3,,193,7.1,,1007.4,
2024-07-11 00:00:00,29.3,26,35.2,7.6,,163,6.5,,1005.6,
2024-07-12 00:00:00,30.6,25.7,35,0,,174,6.4,,1003.4,
2024-07-13 00:00:00,29.6,26,35,5.4,,179,7.2,,1002.6,
2024-07-14 00:00:00,26.7,26,28,21.8,,309,4.1,,1003.3,
2024-07-15 00:00:00,27.8,25,31,40.6,,143,6.1,,1002,
2024-07-16 00:00:00,28.6,26,32,0.5,,117,5.9,,1003.4,
2024-07-17 00:00:00,27.5,25.7,30.7,5.1,,133,3.8,,1003.8,
2024-07-18 00:00:00,27.5,25,33,79.5,,230,5.4,,1004.3,
2024-07-19 00:00:00,27.9,25,32,13.7,,178,5.6,,1004.3,
2024-07-20 00:00:00,29.6,25,34,0,,316,5.8,,1005.1,
2024-07-21 00:00:00,27.8,27,29,0,,218,4,,1003.6,
2024-07-22 00:00:00,29.7,26.4,34,1.3,,269,5.4,,1003.1,
2024-07-23 00:00:00,31.2,27.9,34.2,0,,257,5.7,,1001.7,
