date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
4/1/2025 0:00,19,14.5,24,0,,329,9.2,,1018.7,
4/2/2025 0:00,20.4,16.8,27.2,0,,83,7.9,,1018.5,
4/3/2025 0:00,21.1,17.7,27.5,0,,95,9,,1017.4,
4/4/2025 0:00,21.3,18,25,0,,131,13.2,,1013.2,
4/5/2025 0:00,20.9,19,23.6,0,,105,11.4,,1013.5,
4/6/2025 0:00,21.1,19.1,23.8,1.5,,113,8.9,,1014.4,
4/7/2025 0:00,21.2,19,24.2,0,,109,11.6,,1015.6,
4/8/2025 0:00,21.9,20.1,23.8,0.6,,123,9.2,,1014.6,
4/9/2025 0:00,22.7,20.6,26.6,1,,138,12.5,,1010.8,
4/10/2025 0:00,23,22.5,24.1,1,,120,12.5,,1007.2,
4/11/2025 0:00,24.3,21.3,29.2,0,,134,13.8,,1004.8,
4/12/2025 0:00,24.6,20.9,31.8,17.9,,73,13.9,,1008.2,
4/13/2025 0:00,20.8,17.9,26.1,0,,47,11.9,,1016.6,
4/14/2025 0:00,20.1,17.1,23.9,0,,287,6,,1015,
4/15/2025 0:00,21.5,16.4,28.8,0,,226,7.1,,1012.6,
4/16/2025 0:00,21.7,17.4,26,0,,136,10.5,,1008.8,
4/17/2025 0:00,,,,,,,,,,
4/18/2025 0:00,,,,,,,,,,
4/19/2025 0:00,,,,,,,,,,
4/20/2025 0:00,,,,,,,,,,
4/21/2025 0:00,,,,,,,,,,
4/22/2025 0:00,,,,,,,,,,
4/23/2025 0:00,26.8,23.6,32.6,0.1,,121,12.9,,1005.6,
4/24/2025 0:00,26.3,23.6,30.4,20.8,,98,13.3,,1006.5,
4/25/2025 0:00,24,22.6,27,15.4,,74,10.8,,1010.3,
4/26/2025 0:00,25.1,23.6,27.3,1.4,,120,14.5,,1010.6,
4/27/2025 0:00,26.1,24.1,29.1,0.7,,146,14.5,,1010,
4/28/2025 0:00,23.9,23.4,24.9,38.8,,104,8.7,,1011.5,
4/29/2025 0:00,24.7,23,28,0.7,,83,7.9,,1011.7,
4/30/2025 0:00,25,22.5,27.9,1.8,,123,9.3,,1011.3,
5/1/2025 0:00,24.6,22.7,27.3,1.9,,2,6.8,,1013.1,
5/2/2025 0:00,25.5,22,29.8,0.3,,170,7.2,,1010.4,
5/3/2025 0:00,26.2,23.4,29.3,0.2,,162,13.9,,1007.7,
5/4/2025 0:00,27.2,24.4,30.6,0.5,,167,16.8,,1005.3,
5/5/2025 0:00,28,24.5,32,0.1,,159,15.3,,1004.7,
5/6/2025 0:00,27.4,25.7,30,1,,129,13.7,,1005.3,
5/7/2025 0:00,27.9,25.5,31,4.2,,139,15.7,,1003.9,
5/8/2025 0:00,29,26.4,32.6,0,,163,21.2,,1002.5,
5/9/2025 0:00,28,26,32.4,16.9,,102,13.7,,1005,
5/10/2025 0:00,26.1,22.7,30,26.8,,46,11.5,,1008.1,
5/11/2025 0:00,21.9,18.8,25.4,21.2,,338,14.1,,1011.6,
5/12/2025 0:00,22.8,18,27.7,0,,54,8.9,,1010.3,
5/13/2025 0:00,24.5,20,28.4,0,,115,8.9,,1009.4,
5/14/2025 0:00,25.9,23.5,28.6,5.7,,134,12.7,,1009.1,
