date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-05-16 00:00:00,24,22.1,27.2,0,,131,11.7,,1013.9,
2024-05-17 00:00:00,24.8,21.5,28.1,0,,166,7.8,,1011.4,
2024-05-18 00:00:00,26.7,22.5,32,0.3,,265,7.3,,1007,
2024-05-19 00:00:00,25.1,25.9,28.6,14,,322,7.1,,1005.7,
2024-05-20 00:00:00,23.9,20.1,28.4,80,,129,6.6,,1008.7,
2024-05-21 00:00:00,25.7,20,29.3,0,,142,7,,1010.3,
2024-05-22 00:00:00,24.2,21.7,28.3,0,,119,5.9,,1011.2,
2024-05-23 00:00:00,24,21.6,28.2,1,,157,6.1,,1010.2,
2024-05-24 00:00:00,25.6,21.5,30.1,0,,177,6.4,,1009.6,
2024-05-25 00:00:00,27.8,25.8,31,17.2,,226,4.7,,1009.7,
2024-05-26 00:00:00,28.5,26.1,33.1,13.4,,285,6.8,,1008.8,
2024-05-27 00:00:00,27.2,23.8,31.3,0,,268,10.5,,1006.1,
2024-05-28 00:00:00,27.4,24.2,32,0.3,,280,7.2,,1005.4,
2024-05-29 00:00:00,28.3,24.4,32,0,,274,9.9,,1004.5,
2024-05-30 00:00:00,28.4,27,32.9,0,,290,9.5,,1005.1,
2024-05-31 00:00:00,24.1,26.2,27.3,0,,141,10.6,,1008.1,
2024-06-01 00:00:00,29.6,26.2,33.7,3.7,,164,8.7,,1009.5,
2024-06-02 00:00:00,29.1,25.8,33.5,17.6,,264,7.3,,1009.6,
2024-06-03 00:00:00,29.5,26.7,34.3,5.5,,269,7.5,,1007.3,
2024-06-04 00:00:00,29.3,26.8,33.6,37.3,,271,6,,1007.3,
2024-06-05 00:00:00,24.6,26.4,27.9,14,,122,8.1,,1009.4,
2024-06-06 00:00:00,25.2,22,28.1,0,,147,7.6,,1009.9,
2024-06-07 00:00:00,25.8,25.8,30.9,7.9,,254,5,,1007.5,
2024-06-08 00:00:00,24.2,23,28,21.6,,247,5,,1005.8,
2024-06-09 00:00:00,24.4,26.3,28.3,35.3,,173,4.6,,1006.2,
2024-06-10 00:00:00,24.8,22.6,28.4,9.9,,148,4.4,,1007.7,
2024-06-11 00:00:00,25.3,22.7,28.6,5.8,,260,5.4,,1007.8,
2024-06-12 00:00:00,25.9,23.2,29,0.3,,282,7.9,,1008,
2024-06-13 00:00:00,27.4,23.3,30.3,0,,272,11.7,,1005.9,
2024-06-14 00:00:00,27.9,27.6,30.7,0,,285,10,,1004.7,
2024-06-15 00:00:00,26.4,24.4,29.4,0,,299,6.8,,1005.6,
2024-06-16 00:00:00,27.4,23.8,32.1,0,,291,7,,1006.4,
2024-06-17 00:00:00,25.6,27,30.2,0,,276,6.2,,1006.2,
2024-06-18 00:00:00,25.7,23,28.7,0,,266,6.8,,1005.2,
2024-06-19 00:00:00,26.7,23.4,31.5,0,,276,7.1,,1004.5,
2024-06-20 00:00:00,27.4,24,31.9,0,,275,7.2,,1004.3,
2024-06-21 00:00:00,28.6,24.5,33.8,0,,276,5.6,,1004.5,
2024-06-22 00:00:00,27.3,24.5,31.6,0.3,,39,7.1,,1005.5,
2024-06-23 00:00:00,27.1,27.5,32.6,1.3,,133,7.4,,1005.3,
2024-06-24 00:00:00,25.2,23.4,28.8,8.4,,159,5.5,,1005.3,
2024-06-25 00:00:00,25.6,23.2,28.1,0.5,,132,9.1,,1006.6,
2024-06-26 00:00:00,24.8,23.3,27.5,4.1,,133,11.4,,1009,
2024-06-27 00:00:00,26.8,23.1,30.8,0.8,,159,7.3,,1010.3,
2024-06-28 00:00:00,27.1,23.8,31.2,0.8,,249,5.7,,1007.8,
2024-06-29 00:00:00,26.3,26.5,31,0.3,,268,8.6,,1006.6,
2024-06-30 00:00:00,26.2,22.8,29.4,0.5,,267,10.2,,1006.6,
2024-07-01 00:00:00,29.8,27.1,34.3,1.4,,269,12.3,,1005.4,
2024-07-02 00:00:00,29,27,32.4,13,,265,7.7,,1005.7,
2024-07-03 00:00:00,27.5,26.3,29.2,23.4,,195,4.1,,1009.3,
2024-07-04 00:00:00,28.2,25.6,31.5,15.5,,143,4.8,,1011.2,
2024-07-05 00:00:00,28.6,25.3,32.8,3,,221,5,,1008.2,
2024-07-06 00:00:00,28.7,25.8,33.4,5.7,,197,4.4,,1007.5,
2024-07-07 00:00:00,29.4,25.6,34,1.8,,195,4.7,,1008,
2024-07-08 00:00:00,29.8,26,33.7,6.9,,271,6.3,,1007.4,
2024-07-09 00:00:00,30.3,26.4,34.9,16.1,,268,7.4,,1007.1,
2024-07-10 00:00:00,29.1,26.6,32.8,5.6,,267,6,,1008.2,
2024-07-11 00:00:00,29.1,26,33.9,8.2,,253,6,,1006.4,
2024-07-12 00:00:00,29.5,25.8,33.9,2,,277,6.3,,1004.3,
2024-07-13 00:00:00,29.7,27.3,33.2,5.2,,250,5.3,,1003.5,
2024-07-14 00:00:00,29.1,26.2,33.5,9.3,,126,7.5,,1006,
2024-07-15 00:00:00,29.1,25.7,32.7,3.7,,130,10.5,,1008.1,
2024-07-16 00:00:00,29.4,26.6,33.3,1.6,,127,14,,1007.6,
2024-07-17 00:00:00,29.4,26.6,32.8,0.9,,128,11.1,,1006.8,
2024-07-18 00:00:00,28.4,26.6,30.8,32.7,,129,8.4,,1006.2,
2024-07-19 00:00:00,28.8,26.1,32.9,28.6,,136,9.4,,1005.7,
2024-07-20 00:00:00,28.8,26.1,32.6,17.6,,170,6.4,,1007.1,
2024-07-21 00:00:00,28.4,26.3,32.5,17.1,,186,4.2,,1007.7,
2024-07-22 00:00:00,29.1,25.7,33.2,10.1,,279,5.9,,1006.1,
2024-07-23 00:00:00,24.6,26.4,28,64,,283,7.7,,1002.6,
2024-07-24 00:00:00,28,26.6,30.6,60.7,,288,7.2,,999.7,
2024-07-25 00:00:00,29.4,26.8,34.1,24.6,,293,6.4,,999.6,
2024-07-26 00:00:00,30.9,26.7,35.1,1.1,,276,8.8,,1001.1,
2024-07-27 00:00:00,31.5,28.1,35.8,2.1,,270,8,,1003.7,
2024-07-28 00:00:00,29.9,27.9,32.9,16,,268,5.4,,1004.5,
2024-07-29 00:00:00,27.9,26.8,30.1,31.4,,255,4.6,,1004.5,
2024-07-30 00:00:00,27.5,26.5,29,26.9,,228,5.6,,1004.8,
2024-07-31 00:00:00,27.3,26.3,28.6,29,,218,5.6,,1006.2,
2024-08-01 00:00:00,27,26.1,28.1,39.2,,215,7,,1006.8,
2024-08-02 00:00:00,27.2,26,29.4,36.3,,236,9.9,,1006,
2024-08-03 00:00:00,28,25.6,32.6,7.5,,238,7.3,,1007.9,
2024-08-04 00:00:00,28.1,25.2,32.2,3.9,,188,4.3,,1009.3,
2024-08-05 00:00:00,28.6,25.7,32.8,6.5,,181,4.4,,1008.8,
2024-08-06 00:00:00,28.7,25.7,32.2,3.4,,241,5.5,,1008.1,
2024-08-07 00:00:00,29,25.4,33.4,14.1,,270,6,,1008.6,
2024-08-08 00:00:00,29.4,26,33.6,6.6,,281,6.9,,1008.9,
2024-08-09 00:00:00,30.5,26.4,35.3,1.3,,261,8.7,,1006.5,
2024-08-10 00:00:00,30.5,27.6,33.7,7.6,,272,8.4,,1005.1,
2024-08-11 00:00:00,29,27.1,31.6,15.7,,268,6.3,,1005,
2024-08-12 00:00:00,28.3,26.6,31.5,18.9,,271,5,,1004.7,
2024-08-13 00:00:00,28,25.9,31,23.2,,193,3.9,,1007.3,
2024-08-14 00:00:00,27.8,25.5,30.5,13,,258,4.1,,1008.7,
2024-08-15 00:00:00,28.9,26.1,33.3,9.9,,228,5.2,,1007.8,
2024-08-16 00:00:00,29.5,26.2,33.3,3.4,,203,5.4,,1007.3,
2024-08-17 00:00:00,29,26.1,33.1,12.7,,210,5.4,,1008.9,
2024-08-18 00:00:00,28.9,26.3,32.7,6,,255,4.7,,1009.2,
2024-08-19 00:00:00,28.3,26.2,30.8,12.5,,268,5.4,,1008.1,
2024-08-20 00:00:00,28.7,26.1,32.2,8.2,,245,5.7,,1008.2,
2024-08-21 00:00:00,28.3,26.4,30.7,6.6,,223,4.6,,1008.9,
2024-08-22 00:00:00,23.5,26.1,28,17,,211,3.9,,1010.2,
2024-08-23 00:00:00,27.9,25.9,31.7,7,,273,5.5,,1011.8,
2024-08-24 00:00:00,23.7,21.6,27.4,14,,277,5,,1011.3,
2024-08-25 00:00:00,23.8,21.2,27.6,61,,238,4.5,,1010,
2024-08-26 00:00:00,24.1,21.4,27.8,29,,292,5.4,,1009.2,
2024-08-27 00:00:00,25.5,22.1,30.5,5.6,,253,6.6,,1009.1,
2024-08-28 00:00:00,27,22.3,31.9,0,,,,,,
2024-08-29 00:00:00,27.3,22.8,32.2,0,,,,,,
2024-08-30 00:00:00,25.7,23.7,29.1,7.9,,,,,,
2024-08-31 00:00:00,26.9,,31.2,0,,,,,,
2024-09-01 00:00:00,25.8,23,29,0.5,,,,,,
2024-09-02 00:00:00,26.6,23,30.2,0,,,,,,
2024-09-03 00:00:00,24.9,,29.9,9.1,,,,,,
2024-09-04 00:00:00,26.8,21,31.6,0,,,,,,
2024-09-05 00:00:00,27.8,23.4,33.6,0,,278,5.7,,1005.4,
2024-09-06 00:00:00,26.6,27.4,32.5,0,,292,6.8,,1004.7,
2024-09-07 00:00:00,23,20.2,24.9,48,,289,12.3,,1002.8,
2024-09-08 00:00:00,22.4,26.7,23.7,22.1,,261,12.1,,1001.9,
2024-09-09 00:00:00,22.2,20.8,23.6,38.6,,150,11.3,,1004.9,
2024-09-10 00:00:00,23,21.2,26.2,7.6,,136,9.2,,1007.9,
2024-09-11 00:00:00,23,20.9,27,0,,135,7.2,,1010.1,
2024-09-12 00:00:00,24,20.6,27.7,0,,138,5.1,,1010.1,
2024-09-13 00:00:00,28,25,32.3,3.6,,231,4.4,,1008.3,
2024-09-14 00:00:00,24.7,20.9,28.7,0,,223,4.4,,1006.2,
2024-09-15 00:00:00,26,20.8,31.8,0,,200,5.4,,1005.3,
2024-09-16 00:00:00,28,25.4,31.9,6.3,,127,6.1,,1007.7,
2024-09-17 00:00:00,27.8,25.4,31.2,13.3,,133,6.9,,1008.5,
2024-09-18 00:00:00,28.7,25.1,33.3,1.7,,133,6.6,,1007.2,
2024-09-19 00:00:00,28.9,24.9,33.1,0.5,,164,6.8,,1006.2,
2024-09-20 00:00:00,28.6,26.5,32.3,5.3,,100,6.7,,1006.4,
2024-09-21 00:00:00,28.4,25.8,32,11.4,,133,7.2,,1007.5,
2024-09-22 00:00:00,27.1,26.3,28.2,22.5,,136,5.9,,1008.9,
2024-09-23 00:00:00,27.3,25.2,30.6,0.4,,144,8.7,,1011.6,
2024-09-24 00:00:00,27.4,23.8,31.8,0.4,,153,7.8,,1012.3,
2024-09-25 00:00:00,27.6,24,31.3,1,,151,6.9,,1012.8,
2024-09-26 00:00:00,28.3,24.4,32.3,0.7,,149,6.4,,1013,
2024-09-27 00:00:00,28.5,24.9,32.8,1.2,,243,5.3,,1012.3,
2024-09-28 00:00:00,29.3,26,33.7,1.5,,256,5.5,,1010.2,
2024-09-29 00:00:00,29.1,26.6,32.8,11.7,,243,4.7,,1009,
2024-09-30 00:00:00,27.4,25.9,31,48.6,,162,5.5,,1008.8,
2024-10-01 00:00:00,22.7,23.6,25.6,61,,124,11.6,,1011.9,
2024-10-02 00:00:00,25.2,22.3,29.2,0,,136,11.6,,1016.1,
2024-10-03 00:00:00,24.8,22,28.9,0,,138,12.8,,1016.9,
2024-10-04 00:00:00,25.2,22,30,0,,141,10.8,,1016.5,
2024-10-05 00:00:00,25.7,21.5,30.5,0,,146,10,,1015.8,
2024-10-06 00:00:00,26.3,21.9,30.6,0,,145,10.6,,1016.7,
2024-10-07 00:00:00,26.7,23.2,30.9,0,,143,10.5,,1018,
2024-10-08 00:00:00,26.7,23.9,30.6,0,,136,11.7,,1017.2,
2024-10-09 00:00:00,26.7,24.5,30.1,0.2,,138,13.6,,1015.6,
2024-10-10 00:00:00,26.6,23.3,30.4,0,,146,11.7,,1014.9,
2024-10-11 00:00:00,26.8,23.8,30.6,0,,148,10.7,,1014.4,
2024-10-12 00:00:00,27.4,23.8,31.4,0.9,,149,9.1,,1014.7,
2024-10-13 00:00:00,27.4,24.1,31.7,3,,152,7.5,,1014.6,
2024-10-14 00:00:00,26.9,24.5,31,4.9,,156,6.5,,1014.3,
2024-10-15 00:00:00,26.9,23.8,31.6,8.5,,145,8.9,,1014.3,
2024-10-16 00:00:00,27,24.4,31.3,6.1,,144,10,,1014.9,
2024-10-17 00:00:00,26.8,23.9,30.9,4.4,,149,4.9,,1013.7,
2024-10-18 00:00:00,27.4,23.8,32.6,2.3,,165,5.7,,1013.1,
2024-10-19 00:00:00,28.2,25,32.4,0.8,,146,10.7,,1015,
2024-10-20 00:00:00,27.5,24.9,31.2,1,,142,12.5,,1017.2,
2024-10-21 00:00:00,26.9,24.5,30.4,5.5,,147,9.6,,1016.6,
