date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
4/1/2025 0:00,15,11.3,18.2,0,,139,15.3,,1018.4,
4/2/2025 0:00,17.3,14.8,19.9,0,,147,13,,1018.4,
4/3/2025 0:00,17.6,18.8,20.9,0,,144,10.6,,1016.5,
4/4/2025 0:00,22.6,13.9,30.5,0,,192,8.6,,1011.6,
4/5/2025 0:00,24.8,22.4,29.2,18.7,,146,15.7,,1012.8,
4/6/2025 0:00,24.9,22.1,29.2,20.9,,142,11.4,,1014.4,
4/7/2025 0:00,25.1,22.2,30.2,8.2,,138,7.6,,1015.6,
4/8/2025 0:00,27.2,22.2,33.6,0.2,,239,6.7,,1014.6,
4/9/2025 0:00,29.2,23.6,36.1,0,,218,8.4,,1010.4,
4/10/2025 0:00,30.5,26.5,35.9,0,,226,8.5,,1007,
4/11/2025 0:00,30.1,25.6,35.6,0.5,,239,10.1,,1006,
4/12/2025 0:00,23.4,21.3,31.2,2,,240,10.9,,1010.3,
4/13/2025 0:00,22.4,19.3,26.4,3,,138,13.7,,1017.2,
4/14/2025 0:00,22.5,20.9,25.3,6.7,,131,3.8,,1016.4,
4/15/2025 0:00,26.9,21.1,33.3,0,,194,6.9,,1013.3,
4/16/2025 0:00,29.1,24.4,34.2,0.4,,250,8.1,,1008.7,
4/17/2025 0:00,,,,,,,,,,
4/18/2025 0:00,,,,,,,,,,
4/19/2025 0:00,,,,,,,,,,
4/20/2025 0:00,,,,,,,,,,
4/21/2025 0:00,,,,,,,,,,
4/22/2025 0:00,,,,,,,,,,
4/23/2025 0:00,29.4,25.7,35,9,,248,7.6,,1008.1,
4/24/2025 0:00,28.9,24.3,35.3,10.2,,249,8.1,,1008.7,
4/25/2025 0:00,27.9,24.3,33.2,2.3,,136,13.8,,1010.9,
4/26/2025 0:00,28.8,25,33.9,5.2,,170,9.9,,1011.1,
4/27/2025 0:00,28.6,24.4,34.9,3.6,,242,7.7,,1011.3,
4/28/2025 0:00,27.8,25.9,30.3,6.4,,151,11.5,,1012.5,
4/29/2025 0:00,26.7,24.8,31.1,11.1,,153,8.9,,1013.3,
4/30/2025 0:00,27.3,24.5,31.9,7.8,,226,4.9,,1012.7,
5/1/2025 0:00,26,24,28.8,5.8,,142,5.3,,1015.3,
5/2/2025 0:00,27.9,23.3,33.3,0.1,,217,4.4,,1012.2,
5/3/2025 0:00,28.7,25.8,34.2,4.9,,256,6.6,,1009.5,
5/4/2025 0:00,28.5,24.3,33.4,4.4,,260,8.6,,1008.3,
5/5/2025 0:00,30.4,26.1,35.7,0.3,,260,8.9,,1007.4,
5/6/2025 0:00,31.7,27.5,36.6,0,,255,7.5,,1006.7,
5/7/2025 0:00,31.5,27.1,36.8,1.2,,250,8.9,,1005.5,
5/8/2025 0:00,32.2,27.4,37.7,0,,251,11.3,,1005.2,
5/9/2025 0:00,31.4,28.2,37.5,3.3,,194,11.4,,1007.4,
5/10/2025 0:00,28.5,25.2,33,29.3,,131,11.6,,1009.8,
5/11/2025 0:00,24.2,22.5,27.3,18.2,,140,14.2,,1013,
5/12/2025 0:00,26.1,20.8,31.9,0,,137,8.8,,1010.9,
5/13/2025 0:00,27.9,22.5,33.2,3.1,,186,7.9,,1009.7,
5/14/2025 0:00,28.4,25,34.1,23.9,,233,6.9,,1010.4,
