date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-05-16 00:00:00,29.2,27,31.5,0.3,,17,11.6,,1010.3,
2024-05-17 00:00:00,30,27.2,33.5,0,,327,7.4,,1009.2,
2024-05-18 00:00:00,30.3,26.3,33.3,0,,189,10.6,,1007.4,
2024-05-19 00:00:00,29.8,26.8,33.7,3.6,,291,11.3,,1005.7,
2024-05-20 00:00:00,28.4,25.5,32.6,62.7,,248,13.1,,1005.9,
2024-05-21 00:00:00,29.4,26.7,33,1.3,,262,13.9,,1007.3,
2024-05-22 00:00:00,29.4,27.1,33.3,0,,202,11,,1008.1,
2024-05-23 00:00:00,30.4,26.7,33.5,0,,210,11.3,,1008,
2024-05-24 00:00:00,30.8,27.5,34.3,0,,67,7.3,,1008.3,
2024-05-25 00:00:00,31.3,28.4,34.5,0,,102,7.7,,1008.7,
2024-05-26 00:00:00,31.3,28.1,34.1,0,,197,13.8,,1008.6,
2024-05-27 00:00:00,31.9,29.1,35.1,0,,161,13.7,,1006.3,
2024-05-28 00:00:00,32.2,29.3,35.5,0,,190,12.4,,1005.2,
2024-05-29 00:00:00,30.1,28.3,35,5.1,,284,10.7,,1005.1,
2024-05-30 00:00:00,29.5,26.7,32.3,3,,264,7.8,,1005.6,
2024-05-31 00:00:00,29.7,28,33.6,6.1,,268,12.3,,1006.7,
2024-06-01 00:00:00,30.1,27.2,33.9,0,,241,10.9,,1009.2,
2024-06-02 00:00:00,30.6,27.2,34.8,0,,275,8.7,,1009.5,
2024-06-03 00:00:00,30.3,27.2,35.4,0,,229,10.7,,1008,
2024-06-04 00:00:00,30.4,26.4,35.5,0.5,,202,13.4,,1007.6,
2024-06-05 00:00:00,30.3,28.4,34.4,0,,292,11.4,,1008.1,
2024-06-06 00:00:00,29.8,26.9,34.5,0,,281,8.3,,1008.9,
2024-06-07 00:00:00,30,27.1,33.5,0,,274,9.1,,1007.1,
2024-06-08 00:00:00,29.7,26.9,34,0,,272,10,,1006.4,
2024-06-09 00:00:00,29,26.5,32.8,0.5,,283,9.6,,1006.3,
2024-06-10 00:00:00,29.4,26.9,33.2,2,,252,14,,1007.9,
2024-06-11 00:00:00,30,26.6,33.6,0,,194,13,,1008.8,
2024-06-12 00:00:00,30.8,28,34.3,0,,151,10.5,,1008.9,
2024-06-13 00:00:00,31.3,28,35.7,0,,199,10.9,,1007.2,
2024-06-14 00:00:00,31.3,28.3,34.4,0,,190,14.5,,1005.7,
2024-06-15 00:00:00,30.6,27.8,34.3,0,,165,16.7,,1005.4,
2024-06-16 00:00:00,30,26.6,34.2,0,,170,17.6,,1006.5,
2024-06-17 00:00:00,30.4,26.7,34.2,0,,190,16,,1006.7,
2024-06-18 00:00:00,30.8,27.4,34.2,0,,187,15.1,,1005.8,
2024-06-19 00:00:00,30.8,28.6,34.3,3,,291,9.3,,1005.1,
2024-06-20 00:00:00,28.7,26.4,30.2,0.5,,243,8.9,,1004.8,
2024-06-21 00:00:00,28.5,25.9,30.3,1,,288,10.1,,1004.2,
2024-06-22 00:00:00,28,26,31.7,20.1,,310,6.5,,1004.3,
2024-06-23 00:00:00,28.9,26.3,31.6,0.5,,257,9.9,,1005.7,
2024-06-24 00:00:00,29.3,27,31.4,0,,222,12.7,,1006.3,
2024-06-25 00:00:00,29.7,27.5,32.7,0,,309,5.5,,1006.7,
2024-06-26 00:00:00,29,25.8,31.1,0,,354,8.2,,1007.9,
2024-06-27 00:00:00,29.2,27,32.3,0,,60,7.6,,1009.3,
2024-06-28 00:00:00,29.6,27.2,32.4,0,,185,14.3,,1009.2,
2024-06-29 00:00:00,29.9,26.7,32.7,0,,189,19.7,,1009,
2024-06-30 00:00:00,29.7,27.2,33.4,0,,227,15.3,,1009,
2024-07-01 00:00:00,30.3,26.9,33.7,0,,304,9.2,,1007.5,
2024-07-02 00:00:00,29.9,27,33.6,0.7,,192,11.5,,1006.4,
2024-07-03 00:00:00,29.2,25.6,31.5,5,,167,9.2,,1008.7,
2024-07-04 00:00:00,29.2,26.3,32,1.2,,319,7,,1009.7,
2024-07-05 00:00:00,28.8,25.6,33,0,,277,6.6,,1007.6,
2024-07-06 00:00:00,29.3,26.2,32.2,0.5,,15,7.2,,1006.9,
2024-07-07 00:00:00,29.1,26,31.6,0,,202,10.6,,1007.6,
2024-07-08 00:00:00,28.9,26.5,31.6,0,,259,12.7,,1007.2,
2024-07-09 00:00:00,29.6,26.3,32.7,3.8,,265,9.5,,1008,
2024-07-10 00:00:00,30.1,27,32.3,0.3,,290,9.4,,1008.6,
2024-07-11 00:00:00,29,26,33.3,25.9,,330,8.5,,1006.9,
2024-07-12 00:00:00,29.2,26.6,33.1,0,,278,9.8,,1004.5,
2024-07-13 00:00:00,29.1,27.6,33,1.4,,243,10.7,,1003,
2024-07-14 00:00:00,28.7,26.6,31,1.3,,322,7.9,,1003,
2024-07-15 00:00:00,28.6,26,31.5,0.8,,270,7.5,,1003.6,
2024-07-16 00:00:00,28.1,26.2,31,6.9,,279,8.5,,1004.4,
2024-07-17 00:00:00,28.6,26.6,31.3,0.5,,299,9.7,,1004.9,
2024-07-18 00:00:00,28.2,26.6,32,1,,241,11.4,,1005.8,
2024-07-19 00:00:00,29.2,27.2,31.2,0,,304,7.2,,1005.5,
2024-07-20 00:00:00,27.9,25.6,30,7.1,,248,9,,1006,
2024-07-21 00:00:00,29.1,27.2,31.7,0,,277,8.1,,1005.2,
2024-07-22 00:00:00,29.2,27,33.3,4.3,,249,9.2,,1005.4,
2024-07-23 00:00:00,28.8,26.8,32,0,,230,8.9,,1005,
2024-07-24 00:00:00,30.4,27.2,32.3,0,,250,11.7,,1002.9,
2024-07-25 00:00:00,30.6,26.9,35.4,1.7,,194,14.2,,1001.6,
2024-07-26 00:00:00,29.9,27.4,33,1.8,,187,16.1,,1003.2,
2024-07-27 00:00:00,29.3,27,34.2,1,,180,16.7,,1005.4,
2024-07-28 00:00:00,28.7,26.4,32.5,2.8,,270,9.4,,1005.9,
2024-07-29 00:00:00,28.7,26,33,7.1,,255,12,,1006,
2024-07-30 00:00:00,29.1,26.2,32.2,0.8,,287,8.7,,1007.5,
2024-07-31 00:00:00,29.2,27.3,32.7,0,,195,10.8,,1008.8,
2024-08-01 00:00:00,29.9,25.9,32.5,10.1,,171,10,,1009.3,
2024-08-02 00:00:00,30.6,27.3,34.2,0,,292,10.7,,1008.5,
2024-08-03 00:00:00,30.1,27.2,32.5,0,,216,10.3,,1008.7,
2024-08-04 00:00:00,30,27.2,33,0,,317,10.1,,1008.7,
2024-08-05 00:00:00,29.8,27.2,32.7,0,,276,9.8,,1007.7,
2024-08-06 00:00:00,29.3,25.3,33,0,,291,8.7,,1007.2,
2024-08-07 00:00:00,30.2,26.3,34,0.7,,267,10.1,,1007.8,
2024-08-08 00:00:00,30.4,27.3,34.2,0,,317,8.9,,1008.4,
2024-08-09 00:00:00,29.6,26,34.5,17.8,,216,12.3,,1007.4,
2024-08-10 00:00:00,30.1,27,34.5,3.3,,309,10.1,,1006.1,
2024-08-11 00:00:00,30.6,27,34.5,0,,230,16.2,,1004.2,
2024-08-12 00:00:00,29.8,26.2,34.2,4.3,,224,14.6,,1004.9,
2024-08-13 00:00:00,29.8,26.6,34.7,3.8,,181,10.4,,1006.4,
2024-08-14 00:00:00,30.4,28.2,33.7,0,,206,12.4,,1006.9,
2024-08-15 00:00:00,30,27.3,33.2,0,,161,11.3,,1006.4,
2024-08-16 00:00:00,29.9,27.5,33.9,0,,170,17,,1006.3,
2024-08-17 00:00:00,29.3,26.2,33.5,0.6,,160,16.3,,1008.2,
2024-08-18 00:00:00,29.7,27.2,33.2,0,,176,16.1,,1008.4,
2024-08-19 00:00:00,29.4,26.1,34.3,0,,210,15.2,,1007.7,
2024-08-20 00:00:00,29.2,26.2,34.1,0,,168,15.7,,1008.7,
2024-08-21 00:00:00,29.4,26.4,33.9,0,,187,15.7,,1009.9,
2024-08-22 00:00:00,29.6,27,32.9,0,,159,13,,1009.9,
2024-08-23 00:00:00,29.8,27.3,32.7,0,,168,12.5,,1010.3,
2024-08-24 00:00:00,29.6,26.1,33.4,0,,177,11.3,,1009.7,
2024-08-25 00:00:00,29.6,26.9,33.2,0,,53,10.7,,1007.9,
2024-08-26 00:00:00,29.6,27.2,33.4,0,,305,10.7,,1007.3,
2024-08-27 00:00:00,28.6,26,33.3,7.1,,292,9.1,,1007.1,
2024-08-28 00:00:00,29.4,26.7,33,2,,,,,,
2024-08-29 00:00:00,29.8,26.5,33.6,1.8,,,,,,
2024-08-30 00:00:00,30,27.8,32.4,0,,,,,,
2024-08-31 00:00:00,29.6,,34.2,0,,,,,,
2024-09-01 00:00:00,28.8,,33,0,,,,,,
2024-09-02 00:00:00,29.3,26,32.9,0.5,,,,,,
2024-09-03 00:00:00,29.6,26.8,33.4,1,,,,,,
2024-09-04 00:00:00,29.6,,34.3,0,,,,,,
2024-09-05 00:00:00,30.1,26.7,33.3,2.8,,226,8.5,,1002.6,
2024-09-06 00:00:00,30.3,27.7,33.4,0,,275,11.5,,1002.2,
2024-09-07 00:00:00,30.7,28.3,34.3,0,,182,18.6,,1004.9,
2024-09-08 00:00:00,30.6,28.1,34.8,0,,257,10.9,,1007,
2024-09-09 00:00:00,30.8,28,35.4,0,,314,8.5,,1006,
2024-09-10 00:00:00,29.6,26.5,35,28.2,,311,9.1,,1005.9,
2024-09-11 00:00:00,29.5,26.1,32.7,0,,295,9.2,,1007.7,
2024-09-12 00:00:00,28.8,26.3,33.2,1,,257,12.6,,1007.5,
2024-09-13 00:00:00,30.3,26.3,33.9,0,,295,9.3,,1005.5,
2024-09-14 00:00:00,28.6,26.4,33.4,14,,288,7.5,,1003.8,
2024-09-15 00:00:00,29.1,25.7,32.5,2,,280,8,,1003.3,
2024-09-16 00:00:00,28.3,25.8,32.7,4.3,,315,7.1,,1003.2,
2024-09-17 00:00:00,27,24.8,30.2,8.4,,312,6.5,,1002.4,
2024-09-18 00:00:00,26.7,24.6,30.6,18,,273,7,,999.7,
2024-09-19 00:00:00,29,25.2,32.2,0,,239,12.7,,999.9,
2024-09-20 00:00:00,28.7,26,32,0.3,,203,18.8,,1002.2,
2024-09-21 00:00:00,27.4,25.2,31.4,6.1,,241,14.8,,1004.9,
2024-09-22 00:00:00,27.1,24.8,29.5,3.3,,254,11.3,,1006.6,
2024-09-23 00:00:00,28.4,25.7,31,0,,214,14.5,,1009.2,
2024-09-24 00:00:00,28.1,25.7,31,0,,340,7.5,,1010.2,
2024-09-25 00:00:00,28.1,25.2,30.7,0.2,,14,9.8,,1011,
2024-09-26 00:00:00,26.1,24.9,30.1,39.4,,349,11.3,,1011.2,
2024-09-27 00:00:00,28.6,24.2,32.2,3.6,,323,7.9,,1010.9,
2024-09-28 00:00:00,30.1,26,33.1,0,,201,9.9,,1009.6,
2024-09-29 00:00:00,30.7,25.7,33,0.2,,283,8,,1008.8,
2024-09-30 00:00:00,30.4,28,33.5,0.3,,273,7.9,,1007.4,
2024-10-01 00:00:00,29.1,26.2,33.2,0.1,,290,7.8,,1007.6,
2024-10-02 00:00:00,29.3,26.2,32.1,1.3,,340,11.3,,1009.8,
2024-10-03 00:00:00,28.2,26.4,29.7,10.9,,8,20.8,,1011.2,
2024-10-04 00:00:00,28.1,25.2,31.2,3,,345,23.5,,1011,
2024-10-05 00:00:00,28,25.6,30.2,0,,343,20.2,,1010.3,
2024-10-06 00:00:00,27.1,24.1,28.5,0.3,,350,17.1,,1011.2,
2024-10-07 00:00:00,28.4,25.5,31.1,1.3,,351,15.5,,1011.2,
2024-10-08 00:00:00,27.2,24,29.5,6.6,,335,15.8,,1010.8,
2024-10-09 00:00:00,28.7,25.6,31.5,3,,349,20.2,,1010.1,
2024-10-10 00:00:00,29.1,26,32.2,0,,351,21.7,,1009.7,
2024-10-11 00:00:00,29.1,26.2,31.7,3.5,,358,20.3,,1009.6,
2024-10-12 00:00:00,27.8,24.2,29.7,1.5,,347,16.9,,1010.6,
2024-10-13 00:00:00,28.6,26.3,31.5,2.8,,350,22.6,,1010,
2024-10-14 00:00:00,28.9,26.3,31.8,0,,2,16.9,,1008.9,
2024-10-15 00:00:00,28.4,24.1,30.7,24.7,,351,12.4,,1009.7,
2024-10-16 00:00:00,28.1,24.1,30.2,17.9,,359,12,,1010.6,
2024-10-17 00:00:00,27.8,24.6,29.2,8.7,,359,10,,1010.4,
2024-10-18 00:00:00,27.8,25.3,30.5,8.4,,9,7.3,,1010.4,
2024-10-19 00:00:00,28.3,25.7,31,1,,347,8.9,,1011.3,
2024-10-20 00:00:00,28.4,26.2,31.2,0,,322,11.6,,1011.4,
2024-10-21 00:00:00,28.3,26,31.7,0.5,,2,13.7,,1009.8,
2024-10-22 00:00:00,24.9,23.6,29.8,49.5,,334,17.6,,1009.4,
2024-10-23 00:00:00,27.3,24.3,30.2,23.9,,347,22.4,,1009.3,
2024-10-24 00:00:00,28.4,25.3,32.2,0,,1,19.1,,1008.3,
2024-10-25 00:00:00,28,26,30.1,2.5,,350,9.1,,1007.2,
2024-10-26 00:00:00,27.2,24.1,30.2,0,,281,7.3,,1004.1,
2024-10-27 00:00:00,25.2,24.2,27.4,0.5,,293,9.9,,1003.4,
2024-10-28 00:00:00,26.4,24.1,28.2,2.3,,310,6.1,,1004.1,
2024-10-29 00:00:00,27.5,25.2,29.5,0.5,,322,5.6,,1005.6,
2024-10-30 00:00:00,28.2,24.3,31.5,0,,271,8.8,,1007.3,
2024-10-31 00:00:00,28.3,25,32,2.6,,280,11.7,,1007.8,
2024-11-01 00:00:00,26.3,24.5,29.2,2.8,,13,14.3,,1009.9,
2024-11-02 00:00:00,26.8,24.3,29.2,0.5,,326,18.2,,1011.7,
2024-11-03 00:00:00,27.2,25,29.6,0,,4,20.5,,1011.3,
2024-11-04 00:00:00,26.9,25,30,11.2,,356,16.3,,1011.4,
2024-11-05 00:00:00,27.6,24.4,29.7,0,,12,22.9,,1011.6,
2024-11-06 00:00:00,25.2,23.2,26.7,42.7,,356,26,,1012.3,
2024-11-07 00:00:00,26.9,24.4,28.5,3.3,,0,30,,1013,
2024-11-08 00:00:00,25.4,24,27.4,2.3,,350,28.6,,1012.4,
2024-11-09 00:00:00,26.8,23.3,30.6,0,,357,23.9,,1011.9,
2024-11-10 00:00:00,26.8,23.5,29.2,0,,5,21.5,,1011.8,
2024-11-11 00:00:00,27.4,24.2,30.5,0,,355,14.8,,1010.3,
2024-11-12 00:00:00,27.6,24.7,30.7,0.6,,214,14.1,,1008.7,
2024-11-13 00:00:00,27.4,25.1,31,1,,13,11.1,,1009.7,
2024-11-14 00:00:00,27.5,25.2,30,0,,8,13.3,,1010.4,
2024-11-15 00:00:00,27.3,25,29.6,0,,9,11.4,,1010.1,
2024-11-16 00:00:00,27.1,24.2,29.6,0,,1,15.6,,1010.3,
2024-11-17 00:00:00,27.4,24.5,30.1,0,,355,21.6,,1010.3,
2024-11-18 00:00:00,26.5,24.1,29.3,0.5,,357,29.6,,1010.8,
2024-11-19 00:00:00,26.4,24.7,28.4,1.7,,7,34.8,,1011.5,
2024-11-20 00:00:00,27,24.6,29.6,0.1,,8,38.5,,1011.3,
2024-11-21 00:00:00,27,25.1,29.4,0.2,,7,37.3,,1010.7,
2024-11-22 00:00:00,27.3,24.1,29.7,1,,358,28.9,,1011.1,
2024-11-23 00:00:00,27.2,23.9,30,1.8,,349,23.4,,1011.7,
2024-11-24 00:00:00,27.1,25,29.2,3.3,,345,21.2,,1011.7,
2024-11-25 00:00:00,28.1,25,31.2,0,,345,21.9,,1011.5,
2024-11-26 00:00:00,28.2,27.2,29.4,0,,2,29.3,,1011.6,
2024-11-27 00:00:00,26.9,23.7,28.5,3.3,,10,38.4,,1011.9,
2024-11-28 00:00:00,26.5,24.5,28,2.8,,5,44.1,,1013.2,
2024-11-29 00:00:00,25.6,23.6,27.8,0,,359,43.7,,1013.4,
2024-11-30 00:00:00,25.4,24.2,26.4,0,,346,31.8,,1011.6,
2024-12-01 00:00:00,25.8,24.2,28.3,0,,354,32.1,,1010,
2024-12-02 00:00:00,26.7,25,28.6,0,,355,27,,1009.9,
2024-12-03 00:00:00,26.7,24.5,29.3,0.3,,350,26.6,,1010.3,
2024-12-04 00:00:00,26.3,23.9,27.7,3.6,,355,30.1,,1010.1,
2024-12-05 00:00:00,26.5,25.5,27.4,0.8,,355,28.2,,1010.1,
2024-12-06 00:00:00,25.4,24.2,26.9,5.1,,351,21.1,,1010.2,
2024-12-07 00:00:00,26.3,24.5,28.2,82.5,,4,26.5,,1011.2,
2024-12-08 00:00:00,26.6,24.6,28.6,0,,356,35.1,,1011.7,
2024-12-09 00:00:00,26.6,25,28.3,0.5,,4,36.1,,1010.9,
2024-12-10 00:00:00,24.7,,26.5,7.1,,,,,,
2024-12-11 00:00:00,23.6,22.5,25.3,78,,,,,,
2024-12-12 00:00:00,25.4,23.6,27.4,21.1,,,,,,
2024-12-13 00:00:00,26.2,24,26.7,29.2,,,,,,
